Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.47
5,0.45
6,0.47
7,0.49
8,0.5
9,0.6
10,0.58
11,0.56
12,0.55
13,0.58
14,0.6
15,0.49
16,0.5
17,0.47
18,0.5
19,0.47
20,0.59
21,0.69
22,0.7
23,0.67
24,0.69
25,0.71
26,0.61
27,0.62
28,0.6
29,0.62
30,0.58
31,0.57
32,0.6
33,0.62
34,0.64
35,0.61
36,0.64
37,0.61
38,0.62
39,0.73
40,0.71
41,0.74
42,0.76
43,0.77
44,0.76
45,0.74
46,0.73
47,0.77
48,0.73
49,0.67
50,0.74
51,0.61
52,0.69
53,0.73
54,0.78
55,0.76
56,0.8
57,0.77
58,0.71
59,0.52
60,0.37
61,0.2
62,0.09
63,0.09
64,0.05
65,0.04
66,0.03
67,0.01
68,0.01
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
