Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts CF,4.0,3.0,2.0,0.0,1.0,0.0,5.0,0.342,0.433,0.633,1.066,18.0,9.0,0.058,1.31,0.157,-0.099%,0.00%,0.15,1.2,5.0,0.0,2·2B
Andrew Benintendi LF,5.0,1.0,2.0,0.0,0.0,0.0,5.0,0.294,0.372,0.48,0.852,13.0,9.0,0.018,1.37,0.104,-0.085%,0.00%,0.16,0.1,0.0,0.0,
J.D. Martinez RF,4.0,1.0,1.0,4.0,0.0,0.0,5.0,0.331,0.402,0.636,1.038,13.0,8.0,0.041,1.61,0.165,-0.124%,0.00%,0.19,1.4,1.0,0.0,"HR,SF"
Tzu-Wei Lin PR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.196,0.275,0.239,0.514,,,0.0,,0.0,0.000%,0%,,0.0,,,
Xander Bogaerts SS,4.0,0.0,4.0,1.0,1.0,0.0,5.0,0.291,0.363,0.528,0.891,24.0,14.0,0.217,1.22,0.217,0.000%,0.02%,0.15,2.0,1.0,4.0,
Steve Pearce 1B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.287,0.376,0.519,0.896,10.0,7.0,-0.051,0.61,0.0,-0.051%,-0.00%,0.07,-0.9,7.0,0.0,
Mitch Moreland PH-1B,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.251,0.323,0.45,0.773,10.0,6.0,0.475,3.52,0.475,0.000%,0.03%,0.42,1.6,0.0,0.0,
Ian Kinsler 2B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.249,0.309,0.4,0.709,19.0,11.0,-0.097,1.23,0.033,-0.130%,-0.01%,0.15,-1.0,2.0,4.0,GDP
Brandon Phillips 3B,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.167,0.375,0.667,1.042,7.0,6.0,-0.122,1.11,0.0,-0.122%,-0.01%,0.13,-1.2,1.0,0.0,GDP
Brock Holt PH-3B,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.257,0.346,0.357,0.703,8.0,4.0,0.103,3.56,0.103,0.000%,0.01%,0.43,0.7,0.0,0.0,
Eduardo Nunez DH,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.261,0.284,0.385,0.669,10.0,6.0,0.0,0.62,0.025,-0.025%,0%,0.07,0.1,,,
Blake Swihart PH-DH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.228,0.278,0.304,0.582,4.0,3.0,-0.14,4.5,0.0,-0.140%,-0.01%,0.54,-0.8,,,
Sandy Leon C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.188,0.246,0.296,0.542,11.0,6.0,-0.065,0.78,0.0,-0.065%,-0.01%,0.09,-0.6,8.0,1.0,
Christian Vazquez PH-C,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.213,0.256,0.299,0.555,4.0,3.0,-0.135,5.31,0.0,-0.135%,-0.01%,0.64,-0.8,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brian Johnson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Steven Wright P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,6.0,14.0,6.0,3.0,5.0,41.0,0.378,0.415,0.514,0.928,151.0,92.0,0.302,1.52,1.279,-0.976%,0.02%,0.18,1.7,27.0,9.0,
