Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Amed Rosario SS,5.0,2.0,2.0,1.0,0.0,0.0,5.0,0.259,0.299,0.395,0.694,13.0,11.0,0.005,0.43,0.037,-0.032%,0%,0.0,0.9,0.0,1.0,HR
Jeff McNeil 2B,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.337,0.392,0.5,0.892,23.0,14.0,-0.001,0.5,0.051,-0.052%,0%,0.0,0.3,3.0,5.0,HR
Michael Conforto LF,3.0,2.0,1.0,0.0,1.0,0.0,5.0,0.239,0.344,0.434,0.778,20.0,9.0,0.055,0.36,0.059,-0.004%,0%,0.0,0.5,2.0,0.0,"2B,HBP"
Jack Reinheimer LF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.259,0.167,0.426,,,,,,,,,,0.0,0.0,
Jay Bruce 1B,5.0,1.0,2.0,4.0,0.0,1.0,5.0,0.224,0.304,0.379,0.682,14.0,11.0,0.286,0.67,0.295,-0.010%,0%,0.0,2.5,9.0,0.0,"HR,2B"
Todd Frazier 3B,3.0,0.0,1.0,0.0,2.0,1.0,5.0,0.226,0.307,0.419,0.726,29.0,13.0,0.022,0.32,0.026,-0.004%,0%,0.0,0.2,0.0,2.0,
Brandon Nimmo RF,3.0,1.0,0.0,0.0,1.0,2.0,5.0,0.266,0.392,0.491,0.883,23.0,11.0,-0.026,0.41,0.02,-0.045%,0%,0.0,0.1,4.0,0.0,"SB,HBP"
Dominic Smith DH,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.214,0.25,0.427,0.677,12.0,7.0,-0.006,0.5,0.025,-0.030%,0%,0.0,-0.2,,,
Austin Jackson CF,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.257,0.314,0.342,0.656,22.0,13.0,-0.071,0.47,0.012,-0.083%,0%,0.0,-0.5,0.0,0.0,"HR,GDP"
Tomás Nido C,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.178,0.208,0.26,0.468,14.0,13.0,-0.024,0.23,0.0,-0.024%,0%,0.0,-0.7,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Noah Syndergaard P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Jerry Blevins P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tyler Bashlor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,8.0,9.0,8.0,5.0,10.0,42.0,0.257,0.381,0.657,1.038,170.0,102.0,0.24,0.43,0.525,-0.284%,0.00%,0.0,3.2,27.0,9.0,
