Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3"
t1,0-0,0,---,"3,(0-2) CFX",O,NYM,Amed Rosario,William Cuevas,-2%,48%,Lineout: CF (Deep CF-RF)
t1,0-0,1,---,"4,(1-2) BSFS",O,NYM,Jeff McNeil,William Cuevas,-2%,46%,Strikeout Swinging
t1,0-0,2,---,"1,(0-0) X",,NYM,Michael Conforto,William Cuevas,2%,48%,Double to RF (Line Drive to RF Line)
t1,0-0,2,-2-,"2,(0-1) CX",R,NYM,Jay Bruce,William Cuevas,10%,58%,Double to RF (Line Drive to Short RF Line); Conforto Scores
t1,1-0,2,-2-,"8,(3-2) BFSBFBFB",,NYM,Todd Frazier,William Cuevas,1%,59%,Walk
t1,1-0,2,12-,"5,(2-2) BFFBX",O,NYM,Brandon Nimmo,William Cuevas,-4%,55%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,"1 run, 2 hits, 0 errors, 2 LOB. Mets 1, Red Sox 0.","1 run, 2 hits, 0 errors, 2 LOB. Mets 1, Red Sox 0.","1 run, 2 hits, 0 errors, 2 LOB. Mets 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 1-2-3"
b1,0-1,0,---,"4,(1-2) CBFX",O,BOS,Mookie Betts,Noah Syndergaard,2%,57%,Flyball: RF (Short RF)
b1,0-1,1,---,"2,(1-0) BX",O,BOS,Andrew Benintendi,Noah Syndergaard,2%,59%,Groundout: 2B-1B (Deep 2B-1B)
b1,0-1,2,---,"4,(1-2) BFSC",O,BOS,Mitch Moreland,Noah Syndergaard,1%,60%,Strikeout Looking
