Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.5
8,0.48
9,0.46
10,0.47
11,0.45
12,0.47
13,0.49
14,0.5
15,0.47
16,0.46
17,0.44
18,0.47
19,0.44
20,0.37
21,0.36
22,0.18
23,0.19
24,0.17
25,0.15
26,0.16
27,0.18
28,0.2
29,0.14
30,0.13
31,0.14
32,0.16
33,0.17
34,0.14
35,0.13
36,0.12
37,0.13
38,0.14
39,0.14
40,0.18
41,0.3
42,0.23
43,0.2
44,0.2
45,0.32
46,0.26
47,0.28
48,0.3
49,0.28
50,0.31
51,0.38
52,0.48
53,0.38
54,0.3
55,0.5
56,0.41
57,0.45
58,0.41
59,0.38
60,0.44
61,0.5
62,0.57
63,0.45
64,0.42
65,0.39
66,0.26
67,0.26
68,0.16
69,0.17
70,0.09
71,0.18
72,0.08
73,0.0
