Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.333,0.5,0.667,1.167,0.002,0.47,0.033,-0.031,0%,7.45,0.3,3.0,0.0,"2B,IW"
Andrew Benintendi LF,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.0,0.049,0.63,0.07,-0.02,0.44%,9.81,0.4,0.0,0.0,SB
Steve Pearce 1B,3.0,1.0,1.0,1.0,1.0,1.0,4.0,0.333,0.5,0.333,0.833,0.031,0.58,0.043,-0.012,0.27%,9.05,0.5,4.0,0.0,
Mitch Moreland 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,
J.D. Martinez DH,4.0,1.0,2.0,3.0,0.0,0.0,4.0,0.5,0.5,1.25,1.75,0.201,0.7,0.21,-0.009,1.76%,10.97,2.0,,,HR
Xander Bogaerts SS,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.333,0.25,0.333,0.583,-0.011,0.37,0.01,-0.021,-0.10%,5.84,-0.3,2.0,2.0,SF
Eduardo Núñez 3B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,-0.023,0.21,0.0,-0.023,-0.20%,3.37,-0.8,1.0,1.0,
Ian Kinsler 2B,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.25,0.25,0.25,0.5,-0.019,0.29,0.007,-0.026,-0.16%,4.58,-0.3,3.0,4.0,
Sandy León C,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.022,0.26,0.0,-0.022,-0.19%,4.0,-0.7,13.0,0.0,SH
Jackie Bradley Jr. CF,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.333,0.0,0.333,-0.009,0.21,0.005,-0.014,-0.08%,3.29,-0.4,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
Chris Sale P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Rick Porcello P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,30.0,5.0,8.0,5.0,3.0,7.0,35.0,0.267,0.324,0.4,0.724,0.199,0.42,0.378,-0.178,1.74%,6.67,0.7,27.0,9.0,
