Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Andrew McCutchen LF,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.125,0.222,0.125,0.347,-0.002,1.16,0.089,-0.091,-0.02%,18.23,-0.0,2.0,0.0,
Aaron Judge RF,5.0,1.0,3.0,1.0,0.0,1.0,5.0,0.625,0.667,1.5,2.167,0.147,1.01,0.183,-0.037,1.29%,15.86,1.6,3.0,0.0,HR
Aaron Hicks CF,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.4,0.5,0.6,1.1,0.035,0.46,0.035,0.0,0.30%,7.21,0.5,0.0,0.0,
Brett Gardner PR-CF,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.333,0.0,0.333,-0.037,2.01,0.058,-0.094,-0.32%,31.51,-0.3,0.0,0.0,
Giancarlo Stanton DH,5.0,1.0,1.0,0.0,0.0,4.0,5.0,0.25,0.333,0.625,0.958,-0.172,1.61,0.021,-0.193,-1.52%,25.26,-1.2,,,
Luke Voit 1B,5.0,0.0,2.0,2.0,0.0,2.0,5.0,0.333,0.333,0.556,0.889,-0.008,1.53,0.094,-0.102,-0.06%,24.01,1.2,9.0,1.0,
Didi Gregorius SS,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.286,0.25,0.286,0.536,-0.105,1.33,0.019,-0.124,-0.92%,20.78,-0.6,1.0,0.0,
Miguel Andujar 3B,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.5,0.25,0.75,-0.092,1.1,0.015,-0.108,-0.82%,17.28,-1.1,0.0,2.0,GDP
Gary Sánchez C,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.143,0.0,0.143,-0.021,1.0,0.039,-0.06,-0.19%,15.75,-0.3,7.0,0.0,
Gleyber Torres 2B,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.167,0.286,0.167,0.452,-0.045,1.16,0.046,-0.092,-0.38%,18.18,-0.6,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,
J.A. Happ P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Chad Green P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Lance Lynn P,,,,,,,,,,,,,,,,,,,1.0,1.0,
Zack Britton P,,,,,,,,,,,,,,,,,,,0.0,1.0,
David Robertson P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,4.0,10.0,4.0,5.0,13.0,41.0,0.278,0.366,0.361,0.727,-0.3,1.27,0.599,-0.901,-2.64%,19.83,-0.8,24.0,9.0,
