Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.143,0.25,0.286,0.536,19.0,11.0,-0.085,0.83,0.0,-0.085,-0.87%,13.29,-0.9,3.0,0.0,
Andrew Benintendi LF,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.286,0.375,0.286,0.661,17.0,9.0,-0.058,0.81,0.018,-0.076,-0.58%,12.93,-0.4,1.0,0.0,
J.D. Martinez DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.375,0.375,0.75,1.125,13.0,11.0,-0.058,0.8,0.013,-0.071,-0.60%,12.77,-0.6,,,
Xander Bogaerts SS,4.0,1.0,1.0,1.0,0.0,0.0,4.0,0.286,0.25,0.714,0.964,8.0,8.0,0.04,0.62,0.091,-0.051,0.40%,9.92,0.4,1.0,3.0,HR
Mitch Moreland 1B,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.333,0.333,0.667,12.0,8.0,-0.023,0.71,0.021,-0.043,-0.22%,11.42,-0.0,7.0,1.0,
Steve Pearce 1B,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.6,0.333,0.933,5.0,1.0,0.023,0.47,0.023,0.0,0.24%,7.52,0.4,3.0,0.0,
Eduardo Núñez 3B,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.125,0.0,0.125,13.0,8.0,-0.042,0.74,0.016,-0.058,-0.44%,11.8,-0.8,1.0,6.0,
Ian Kinsler 2B,4.0,0.0,1.0,1.0,0.0,2.0,4.0,0.25,0.25,0.375,0.625,20.0,12.0,-0.015,0.69,0.045,-0.059,-0.14%,11.04,0.3,2.0,2.0,"2B,SB,GDP"
Sandy León C,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,7.0,-0.057,1.09,0.0,-0.057,-0.58%,17.53,-0.5,6.0,0.0,
Rafael Devers PH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-0.027,0.96,0.0,-0.027,-0.28%,15.37,-0.4,,,
Christian Vázquez C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,1.0,
Jackie Bradley Jr. CF,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.2,0.333,0.2,0.533,11.0,7.0,-0.017,0.75,0.027,-0.043,-0.18%,12.06,-0.3,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
David Price P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Eduardo Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,31.0,2.0,5.0,2.0,3.0,6.0,34.0,0.161,0.235,0.29,0.526,133.0,85.0,-0.319,0.76,0.254,-0.57,-3.25%,12.09,-2.8,27.0,13.0,
