Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,2.0,1.0,0.0,1.0,2.0,5.0,0.209,0.306,0.279,0.585,0.13,1.0,0.165,-0.035,3.80%,52.08,0.8,1.0,0.0,SB
Andrew Benintendi LF,5.0,3.0,4.0,1.0,0.0,0.0,5.0,0.302,0.362,0.395,0.757,0.236,0.92,0.238,-0.002,6.88%,47.84,2.3,2.0,0.0,2B
Steve Pearce 1B,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.25,0.382,0.393,0.775,-0.046,1.31,0.022,-0.068,-1.32%,68.24,-0.4,5.0,1.0,
Mitch Moreland PH-1B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.5,0.5,1.0,-0.037,0.94,0.0,-0.037,-1.08%,49.09,-0.5,4.0,0.0,
J.D. Martinez DH,3.0,1.0,2.0,2.0,1.0,1.0,4.0,0.343,0.444,0.571,1.016,0.104,1.22,0.209,-0.105,3.04%,63.51,1.0,,,"2B,CS,IW"
Xander Bogaerts SS,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.256,0.333,0.359,0.692,-0.018,1.52,0.026,-0.045,-0.54%,79.12,-0.6,0.0,3.0,IW
Rafael Devers 3B,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.364,0.44,0.5,0.94,0.089,1.35,0.129,-0.04,2.61%,70.51,0.9,0.0,1.0,
Eduardo Núñez PH-3B,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.235,0.316,0.471,0.786,0.185,1.46,0.185,0.0,5.41%,76.25,2.7,0.0,0.0,HR
Ian Kinsler 2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.214,0.241,0.321,0.563,-0.082,0.82,0.0,-0.082,-2.40%,42.7,-1.2,0.0,3.0,
Sandy León C,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.182,0.182,0.182,0.364,0.028,0.56,0.058,-0.03,0.81%,29.51,0.6,11.0,1.0,
Jackie Bradley Jr. CF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.161,0.333,0.419,0.753,-0.126,0.62,0.0,-0.126,-3.67%,32.51,-1.9,3.0,0.0,GDP
,,,,,,,,,,,,,,,,,,,,,
Chris Sale P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,1.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Eduardo Rodriguez P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Nathan Eovaldi P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Craig Kimbrel P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,8.0,11.0,8.0,5.0,12.0,38.0,0.333,0.421,0.485,0.906,0.463,1.03,1.032,-0.57,13.54%,53.62,3.7,27.0,10.0,
