Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Brian Dozier 2B,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.154,0.353,0.154,0.507,0.069,1.48,0.118,-0.049,2.01%,77.3,0.4,3.0,0.0,
Max Muncy PH-1B,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.2,0.378,0.371,0.749,0.036,0.56,0.04,-0.005,1.04%,29.25,0.1,1.0,0.0,
Justin Turner 3B,5.0,1.0,3.0,0.0,0.0,2.0,5.0,0.313,0.389,0.396,0.785,0.15,1.06,0.167,-0.017,4.39%,55.25,1.0,0.0,0.0,
David Freese 1B,3.0,0.0,2.0,0.0,0.0,1.0,3.0,0.385,0.4,0.692,1.092,-0.021,1.47,0.054,-0.075,-0.62%,76.95,-0.1,6.0,1.0,
Yasmani Grandal PH-C,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.125,0.25,0.292,0.542,0.097,3.14,0.097,0.0,2.83%,163.99,0.7,4.0,0.0,
Manny Machado SS,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.255,0.308,0.489,0.797,0.029,2.42,0.107,-0.078,1.02%,126.65,0.5,1.0,3.0,SF
Chris Taylor LF,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.333,0.438,0.556,0.993,-0.073,1.54,0.0,-0.073,-2.32%,80.43,-0.7,0.0,0.0,
Cody Bellinger PH-CF,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.132,0.233,0.237,0.469,-0.136,2.52,0.0,-0.136,-3.97%,131.88,-0.8,0.0,0.0,
Matt Kemp DH,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.222,0.263,0.444,0.708,-0.002,1.06,0.092,-0.094,-0.06%,55.49,0.0,,,HR
Enrique Hernández CF-LF-2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.1,0.229,0.2,0.429,-0.077,0.75,0.0,-0.077,-2.24%,39.04,-0.8,1.0,1.0,
Yasiel Puig RF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.303,0.41,0.485,0.895,-0.024,0.47,0.013,-0.038,-0.71%,24.81,-0.3,1.0,0.0,
Austin Barnes C,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.1,0.182,0.1,0.282,-0.038,0.69,0.0,-0.038,-1.12%,35.77,-0.4,7.0,1.0,
Joc Pederson PH-LF,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.241,0.313,0.379,0.692,-0.045,0.86,0.0,-0.045,-1.32%,45.17,-0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
Clayton Kershaw P,,,,,,,,,,,,,,,,,,,0.0,1.0,
Ryan Madson P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Julio Urías P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Pedro Báez P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Alex Wood P,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,4.0,8.0,4.0,3.0,12.0,38.0,0.235,0.289,0.324,0.613,-0.035,1.28,0.688,-0.725,-1.07%,66.9,-0.8,24.0,7.0,
