Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jonathan Villar 2B-SS,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.288,0.311,0.508,0.82,15.0,9.0,-0.087,0.96,0.023,-0.110%,-0.05%,0.88,-1.0,1.0,2.0,GDP
Joey Rickard RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.189,0.286,0.351,0.637,11.0,9.0,-0.104,0.94,0.0,-0.104%,-0.06%,0.85,-0.9,2.0,0.0,
Trey Mancini 1B,3.0,2.0,1.0,0.0,1.0,2.0,4.0,0.333,0.383,0.722,1.106,16.0,9.0,0.034,0.51,0.06,-0.025%,0.02%,0.46,0.6,7.0,1.0,2B
Renato Nunez DH,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.25,0.313,0.409,0.722,16.0,10.0,-0.04,1.01,0.048,-0.088%,-0.02%,0.92,0.7,,,HR
Dwight Smith Jr. LF,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.278,0.304,0.444,0.748,20.0,13.0,0.069,0.99,0.148,-0.079%,0.04%,0.9,1.1,4.0,0.0,HR
Hanser Alberto 3B-2B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.333,0.355,0.367,0.722,15.0,10.0,-0.002,0.68,0.038,-0.040%,-0.00%,0.61,-0.0,1.0,1.0,
Jesus Sucre C,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.206,0.25,0.235,0.485,16.0,10.0,-0.098,1.12,0.0,-0.098%,-0.05%,1.02,-0.8,5.0,0.0,
Chris Davis PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.132,0.0,0.132,6.0,3.0,-0.014,0.5,0.0,-0.014%,-0.01%,0.45,-0.1,,,
Richie Martin SS,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.147,0.237,0.206,0.443,7.0,5.0,-0.046,0.86,0.0,-0.046%,-0.03%,0.79,-0.5,0.0,2.0,
Rio Ruiz PH-3B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.189,0.295,0.324,0.62,3.0,3.0,-0.041,1.54,0.0,-0.041%,-0.02%,1.4,-0.3,0.0,0.0,
Cedric Mullins CF,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.114,0.238,0.229,0.467,14.0,10.0,-0.012,0.74,0.028,-0.041%,-0.01%,0.67,-0.0,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
David Hess P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Paul Fry P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Evan Phillips P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Mike Wright Jr. P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,32.0,4.0,4.0,4.0,2.0,12.0,34.0,0.125,0.176,0.344,0.52,139.0,91.0,-0.341,0.87,0.345,-0.686%,-0.19%,0.79,-1.3,24.0,7.0,
