Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Yandy Díaz 1B,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.279,0.381,0.57,0.951,14.0,9.0,0.063,0.79,0.11,-0.047%,0.05%,1.1,0.7,7.0,1.0,HR
Tommy Pham DH,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.305,0.422,0.463,0.886,12.0,6.0,0.029,0.83,0.091,-0.062%,0.02%,1.16,0.2,,,"2B,GDP"
Daniel Robertson 2B,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.169,0.263,0.211,0.474,19.0,9.0,-0.044,0.9,0.044,-0.088%,-0.04%,1.25,-0.5,1.0,2.0,GDP
Avisail Garcia RF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.305,0.455,0.76,18.0,8.0,-0.097,0.86,0.0,-0.097%,-0.08%,1.2,-1.3,2.0,0.0,
Mike Zunino C,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.238,0.273,0.444,0.717,13.0,10.0,0.043,0.93,0.093,-0.050%,0.04%,1.29,0.3,11.0,1.0,
Kevin Kiermaier CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.261,0.305,0.466,0.771,11.0,9.0,-0.01,0.91,0.045,-0.055%,-0.01%,1.26,-0.1,0.0,0.0,
Guillermo Heredia LF,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.182,0.333,0.364,0.697,15.0,11.0,-0.1,0.85,0.0,-0.100%,-0.08%,1.19,-1.3,3.0,0.0,
Willy Adames SS,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.209,0.277,0.314,0.591,21.0,11.0,-0.077,0.93,0.019,-0.096%,-0.07%,1.29,-1.0,2.0,5.0,SB
Christian Arroyo 3B,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.273,0.333,0.273,0.606,19.0,12.0,-0.032,0.79,0.006,-0.038%,-0.03%,1.1,-0.3,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Charlie Morton P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Chaz Roe P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Kolarek P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Diego Castillo P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jose Alvarado P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Emilio Pagan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,29.0,2.0,4.0,2.0,6.0,10.0,35.0,0.138,0.286,0.276,0.562,142.0,85.0,-0.225,0.87,0.408,-0.633%,-0.19%,1.21,-3.3,27.0,9.0,
