Inning,Win Pct
1,0.5
2,0.59
3,0.62
4,0.55
5,0.54
6,0.57
7,0.58
8,0.57
9,0.6
10,0.57
11,0.56
12,0.55
13,0.57
14,0.54
15,0.51
16,0.56
17,0.6
18,0.58
19,0.56
20,0.55
21,0.58
22,0.53
23,0.57
24,0.57
25,0.61
26,0.67
27,0.7
28,0.65
29,0.74
30,0.79
31,0.73
32,0.67
33,0.62
34,0.7
35,0.67
36,0.73
37,0.71
38,0.73
39,0.69
40,0.64
41,0.75
42,0.73
43,0.76
44,0.74
45,0.73
46,0.72
47,0.75
48,0.69
49,0.75
50,0.8
51,0.78
52,0.76
53,0.77
54,0.78
55,0.79
56,0.75
57,0.8
58,0.75
59,0.8
60,0.85
61,0.83
62,0.85
63,0.83
64,0.81
65,0.66
66,0.73
67,0.66
68,0.49
69,0.67
70,0.62
71,0.82
72,0.8
73,0.78
74,0.77
75,0.64
76,0.77
77,0.89
78,1.0
