Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"5,(2-2) CBBFC",O,OAK,Marcus Semien,Eduardo Rodriguez,2%,52%,Strikeout Looking
t1,0-0,1,---,"5,(1-2) CBCFX",,OAK,Matt Chapman,Eduardo Rodriguez,-2%,50%,Single to RF (Ground Ball)
t1,0-0,1,1--,"4,(1-2) SBCS",O,OAK,Stephen Piscotty,Eduardo Rodriguez,3%,53%,Strikeout Swinging
t1,0-0,2,1--,"1,(0-0) X",O,OAK,Khris Davis,Eduardo Rodriguez,2%,55%,Lineout: RF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Athletics 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Athletics 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Athletics 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Frankie Montas facing 1-2-3"
b1,0-0,0,---,"2,(0-1) SX",O,BOS,Andrew Benintendi,Frankie Montas,-2%,53%,Lineout: LF (LF Line)
b1,0-0,1,---,"3,(0-2) CCX",,BOS,Mookie Betts,Frankie Montas,2%,55%,Single to LF (Ground Ball thru SS-3B Hole)
b1,0-0,1,1--,"3,(1-1) CBX",OO,BOS,J.D. Martinez,Frankie Montas,-5%,50%,Ground Ball Double Play: SS-1B (SS-2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Athletics 0, Red Sox 0."
