Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.38
7,0.39
8,0.4
9,0.38
10,0.41
11,0.37
12,0.35
13,0.37
14,0.35
15,0.32
16,0.35
17,0.27
18,0.3
19,0.34
20,0.3
21,0.27
22,0.29
23,0.25
24,0.26
25,0.28
26,0.29
27,0.26
28,0.24
29,0.23
30,0.24
31,0.23
32,0.11
33,0.11
34,0.11
35,0.12
36,0.1
37,0.09
38,0.1
39,0.08
40,0.09
41,0.07
42,0.07
43,0.03
44,0.05
45,0.06
46,0.04
47,0.04
48,0.03
49,0.03
50,0.04
51,0.04
52,0.03
53,0.02
54,0.02
55,0.01
56,0.02
57,0.02
58,0.02
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.02
66,0.01
67,0.02
68,0.0
69,0.0
