Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Andrew Benintendi LF,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.265,0.351,0.43,0.781,23.0,16.0,-0.279,1.67,0.0,-0.279%,-0.18%,1.82,-1.8,1.0,0.0,
Mookie Betts CF,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.279,0.399,0.481,0.879,18.0,13.0,-0.144,1.11,0.0,-0.144%,-0.09%,1.21,-1.3,1.0,0.0,
J.D. Martinez RF,5.0,1.0,2.0,1.0,0.0,0.0,5.0,0.316,0.393,0.523,0.916,16.0,9.0,0.015,0.85,0.107,-0.092%,0.01%,0.92,0.6,0.0,0.0,HR
Xander Bogaerts SS,3.0,0.0,1.0,0.0,2.0,0.0,5.0,0.263,0.365,0.467,0.832,27.0,14.0,0.179,1.27,0.192,-0.013%,0.12%,1.38,1.0,0.0,2.0,
Rafael Devers 3B,5.0,2.0,1.0,1.0,0.0,1.0,5.0,0.331,0.402,0.468,0.87,20.0,14.0,-0.145,1.84,0.081,-0.225%,-0.09%,2.0,-0.5,1.0,2.0,HR
Michael Chavis 2B,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.289,0.407,0.592,0.999,18.0,12.0,0.023,1.58,0.187,-0.164%,0.01%,1.71,0.4,1.0,2.0,"HR,GDP"
Steve Pearce 1B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.111,0.176,0.143,0.319,14.0,10.0,-0.011,0.52,0.017,-0.029%,-0.01%,0.56,-0.1,3.0,0.0,
Mitch Moreland PH-1B,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.235,0.321,0.588,0.909,9.0,6.0,0.222,4.36,0.321,-0.098%,0.14%,4.74,1.0,5.0,0.0,
Eduardo Nunez DH,4.0,0.0,1.0,0.0,1.0,1.0,5.0,0.194,0.214,0.269,0.483,15.0,8.0,-0.296,1.4,0.046,-0.342%,-0.19%,1.52,-1.2,,,"2B,SB"
Sandy Leon C,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.294,0.333,0.627,10.0,7.0,-0.062,0.73,0.0,-0.062%,-0.04%,0.79,-1.1,20.0,1.0,
Jackie Bradley Jr. PH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.149,0.258,0.184,0.442,7.0,3.0,0.072,2.34,0.072,0.000%,0.05%,2.54,0.4,,,
Christian Vazquez C,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.286,0.343,0.49,0.832,3.0,3.0,0.056,2.03,0.056,0.000%,0.04%,2.21,0.1,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,
Chris Sale P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,42.0,4.0,9.0,4.0,4.0,10.0,46.0,0.214,0.283,0.452,0.735,180.0,115.0,-0.37,1.46,1.079,-1.448%,-0.24%,1.58,-2.4,33.0,9.0,
