Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
t1,0-0,0,---,"5,(2-2) BCBSC",O,COL,Charlie Blackmon,Chris Sale,-2%,48%,Strikeout Looking
t1,0-0,1,---,"6,(3-2) BSCBBS",O,COL,Trevor Story,Chris Sale,-2%,46%,Strikeout Swinging
t1,0-0,2,---,"7,(3-2) CBBFFBS",O,COL,Nolan Arenado,Chris Sale,-1%,45%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' Kyle Freeland facing 1-2-3"
b1,0-0,0,---,"6,(2-2) CBBSFC",O,BOS,Andrew Benintendi,Kyle Freeland,2%,47%,Strikeout Looking
b1,0-0,1,---,"4,(1-2) CSBC",O,BOS,Mookie Betts,Kyle Freeland,2%,49%,Strikeout Looking
b1,0-0,2,---,"4,(2-1) BBFX",,BOS,J.D. Martinez,Kyle Freeland,-1%,48%,Single to LF (Ground Ball thru SS-3B Hole)
b1,0-0,2,1--,"7,(3-2) CFBF*BBB",,BOS,Xander Bogaerts,Kyle Freeland,-2%,46%,Walk; Martinez to 2B
