Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.47
6,0.49
7,0.48
8,0.46
9,0.5
10,0.48
11,0.46
12,0.45
13,0.35
14,0.37
15,0.33
16,0.37
17,0.4
18,0.37
19,0.35
20,0.34
21,0.36
22,0.26
23,0.28
24,0.2
25,0.2
26,0.18
27,0.16
28,0.15
29,0.14
30,0.15
31,0.17
32,0.18
33,0.24
34,0.19
35,0.16
36,0.13
37,0.14
38,0.15
39,0.14
40,0.15
41,0.13
42,0.11
43,0.1
44,0.11
45,0.12
46,0.11
47,0.11
48,0.12
49,0.16
50,0.32
51,0.28
52,0.24
53,0.22
54,0.24
55,0.26
56,0.27
57,0.21
58,0.31
59,0.23
60,0.68
61,0.66
62,0.57
63,0.66
64,0.57
65,0.25
66,0.5
67,0.44
68,0.38
69,0.35
70,0.27
71,0.35
72,0.43
73,0.5
74,0.44
75,0.38
76,0.35
77,0.27
78,0.35
79,0.5
80,0.58
81,0.5
82,0.42
83,0.47
84,0.81
85,0.77
86,0.87
87,0.94
88,0.89
89,1.0
