Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Charlie Blackmon RF,4.0,1.0,0.0,0.0,0.0,3.0,5.0,0.295,0.359,0.566,0.926,23.0,15.0,-0.105,1.58,0.055,-0.159%,-0.05%,1.27,-1.0,3.0,0.0,HBP
Trevor Story SS,5.0,0.0,2.0,2.0,0.0,2.0,5.0,0.276,0.344,0.494,0.838,23.0,14.0,0.149,1.44,0.232,-0.083%,0.07%,1.15,1.2,2.0,2.0,
Pat Valaika SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.182,0.103,0.285,,,,,,,,,,0.0,1.0,
Nolan Arenado 3B,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.314,0.36,0.598,0.958,24.0,15.0,0.005,1.46,0.167,-0.163%,0.00%,1.17,-0.7,0.0,2.0,2B
Mark Reynolds 1B,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.2,0.32,0.4,0.72,10.0,7.0,-0.01,0.57,0.024,-0.034%,-0.01%,0.46,0.0,8.0,0.0,
Daniel Murphy PH-1B,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.194,0.261,0.371,0.632,9.0,5.0,-0.086,2.87,0.029,-0.114%,-0.04%,2.29,-0.4,1.0,0.0,
Raimel Tapia LF,5.0,1.0,1.0,0.0,0.0,2.0,5.0,0.294,0.33,0.578,0.908,21.0,15.0,-0.172,1.65,0.037,-0.209%,-0.08%,1.32,-1.0,2.0,1.0,
Ian Desmond DH,4.0,1.0,2.0,0.0,1.0,2.0,5.0,0.218,0.285,0.411,0.696,19.0,11.0,-0.015,1.43,0.094,-0.110%,-0.01%,1.14,0.5,,,"2B,CS"
David Dahl CF,4.0,0.0,0.0,1.0,0.0,3.0,5.0,0.298,0.341,0.496,0.837,18.0,13.0,-0.245,1.92,0.0,-0.245%,-0.12%,1.53,-1.5,2.0,0.0,SF
Ryan McMahon 2B,3.0,1.0,2.0,0.0,1.0,0.0,4.0,0.242,0.336,0.364,0.7,13.0,6.0,0.053,0.9,0.081,-0.028%,0.03%,0.72,0.7,1.0,3.0,
Tony Wolters C,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.31,0.361,0.414,0.775,15.0,11.0,0.078,1.79,0.192,-0.115%,0.04%,1.43,1.4,8.0,2.0,2·2B
,,,,,,,,,,,,,,,,,,,,,,,
German Marquez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Dunn P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Carlos Estevez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Oberg P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Bryan Shaw P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Chad Bettis P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,39.0,5.0,11.0,5.0,2.0,16.0,43.0,0.282,0.326,0.385,0.71,175.0,112.0,-0.348,1.54,0.911,-1.260%,-0.17%,1.23,-0.9,27.0,11.0,
