Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Francisco Lindor SS,4.0,1.0,1.0,0.0,1.0,0.0,5.0,0.278,0.344,0.466,0.811,12.0,8.0,0.041,0.78,0.056,-0.015%,0.02%,0.66,0.2,2.0,6.0,"SB,IW"
Oscar Mercado RF,4.0,3.0,2.0,0.0,1.0,0.0,5.0,0.323,0.417,0.516,0.933,30.0,19.0,0.159,0.98,0.16,-0.001%,0.08%,0.84,2.2,0.0,0.0,2·SB
Carlos Santana 1B,4.0,0.0,0.0,0.0,1.0,2.0,5.0,0.279,0.4,0.481,0.881,23.0,14.0,-0.11,1.07,0.022,-0.132%,-0.06%,0.91,-1.7,8.0,3.0,
Jason Kipnis 2B,4.0,1.0,2.0,1.0,0.0,0.0,5.0,0.225,0.296,0.333,0.629,12.0,10.0,0.042,0.82,0.077,-0.035%,0.02%,0.7,1.1,0.0,0.0,"2B,SH"
Jake Bauers DH,3.0,0.0,1.0,1.0,1.0,1.0,5.0,0.215,0.31,0.344,0.654,19.0,10.0,0.072,0.78,0.085,-0.012%,0.04%,0.66,0.0,,,"2B,HBP"
Roberto Perez C,5.0,0.0,1.0,2.0,0.0,2.0,5.0,0.225,0.326,0.405,0.731,21.0,14.0,-0.065,0.96,0.008,-0.073%,-0.03%,0.82,-0.3,10.0,0.0,
Mike Freeman 3B,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.235,0.4,0.294,0.694,10.0,7.0,-0.028,1.04,0.058,-0.085%,-0.01%,0.89,0.6,0.0,0.0,2B
Greg Allen LF,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.091,0.146,0.136,0.282,15.0,9.0,-0.07,0.8,0.0,-0.070%,-0.04%,0.68,-1.4,1.0,0.0,SH
Leonys Martín CF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.228,0.305,0.361,0.666,12.0,8.0,-0.056,0.54,0.0,-0.056%,-0.03%,0.46,-1.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jefry Rodriguez P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Oliver Perez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Dan Otero P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Josh D. Smith P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Cimber P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,5.0,9.0,5.0,4.0,5.0,42.0,0.257,0.35,0.343,0.693,154.0,99.0,-0.015,0.87,0.466,-0.479%,-0.01%,0.74,-0.3,24.0,9.0,
