Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Francisco Lindor SS,3.0,1.0,1.0,2.0,2.0,0.0,5.0,0.279,0.353,0.471,0.823,23.0,13.0,0.324,1.71,0.361,-0.036%,0.16%,1.38,2.1,1.0,1.0,2B
Oscar Mercado CF,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.306,0.39,0.472,0.862,13.0,9.0,-0.223,1.96,0.042,-0.265%,-0.11%,1.58,-1.1,3.0,0.0,
Carlos Santana DH,3.0,0.0,0.0,0.0,2.0,2.0,5.0,0.274,0.4,0.473,0.873,25.0,12.0,0.021,2.27,0.176,-0.155%,0.01%,1.83,-0.4,,,GDP
Jordan Luplow RF,5.0,0.0,1.0,2.0,0.0,1.0,5.0,0.244,0.298,0.5,0.798,22.0,15.0,0.065,2.52,0.239,-0.173%,0.03%,2.03,0.7,3.0,0.0,2B
Jose Ramirez 3B,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.204,0.308,0.301,0.609,20.0,10.0,0.024,1.43,0.132,-0.108%,0.01%,1.15,1.0,1.0,3.0,"2·SB,IW"
Roberto Perez C,5.0,1.0,1.0,1.0,0.0,2.0,5.0,0.224,0.321,0.422,0.743,22.0,14.0,-0.093,1.22,0.046,-0.139%,-0.04%,0.98,-0.9,7.0,0.0,HR
Jake Bauers 1B,4.0,1.0,0.0,0.0,1.0,1.0,5.0,0.21,0.307,0.335,0.643,26.0,14.0,-0.054,1.25,0.079,-0.132%,-0.03%,1.01,-1.5,8.0,0.0,
Greg Allen LF,3.0,2.0,1.0,2.0,1.0,0.0,4.0,0.106,0.173,0.213,0.386,22.0,12.0,0.307,1.61,0.379,-0.072%,0.15%,1.3,1.4,3.0,0.0,HR
Mike Freeman 2B,3.0,1.0,1.0,0.0,0.0,1.0,4.0,0.243,0.408,0.297,0.705,10.0,6.0,0.103,1.56,0.158,-0.055%,0.05%,1.25,0.6,1.0,3.0,HBP
,,,,,,,,,,,,,,,,,,,,,,,
Zach Plesac P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
A.J. Cole P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tyler Clippard P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Nick Wittgren P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brad Hand P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,7.0,8.0,7.0,8.0,7.0,43.0,0.235,0.395,0.471,0.866,183.0,105.0,0.474,1.72,1.612,-1.135%,0.23%,1.38,1.7,27.0,8.0,
