Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"2,(0-1) SX",O,CLE,Francisco Lindor,David Price,-2%,48%,Flyball: RF (Deep RF)
t1,0-0,1,---,"2,(0-1) CX",O,CLE,Oscar Mercado,David Price,-2%,46%,Groundout: SS-1B
t1,0-0,2,---,"6,(2-2) CFBFBC",O,CLE,Carlos Santana,David Price,-1%,45%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 1-2-3"
b1,0-0,0,---,"2,(1-0) BX",O,BOS,Mookie Betts,Zach Plesac,2%,47%,Groundout: 3B-1B
b1,0-0,1,---,"6,(3-2) BCBBST",O,BOS,Rafael Devers,Zach Plesac,2%,49%,Strikeout Swinging
b1,0-0,2,---,"3,(0-2) CCX",O,BOS,Xander Bogaerts,Zach Plesac,1%,50%,Flyball: CF (Deep CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
