Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Austin Meadows LF,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.345,0.418,0.632,1.051,25.0,15.0,-0.055,0.43,0.009,-0.064%,-0.05%,0.61,-0.8,1.0,0.0,CS
Tommy Pham DH,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.289,0.403,0.464,0.868,19.0,11.0,-0.03,0.43,0.008,-0.038%,-0.03%,0.62,-0.6,,,
Brandon Lowe 2B,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.277,0.33,0.515,0.845,19.0,12.0,0.083,0.75,0.103,-0.019%,0.07%,1.08,0.7,1.0,6.0,2B
Avisail Garcia RF,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.304,0.36,0.529,0.89,11.0,8.0,0.034,0.8,0.071,-0.037%,0.03%,1.15,0.4,2.0,0.0,
Guillermo Heredia RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.329,0.353,0.682,,,,,,,,,,1.0,0.0,
Ji-Man Choi 1B,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.275,0.353,0.438,0.791,18.0,10.0,0.087,0.77,0.14,-0.053%,0.08%,1.1,1.2,14.0,0.0,HR
Yandy Díaz 3B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.251,0.343,0.469,0.812,12.0,9.0,-0.132,0.75,0.0,-0.132%,-0.11%,1.08,-1.9,0.0,2.0,
Kevin Kiermaier CF,4.0,1.0,3.0,4.0,0.0,0.0,4.0,0.255,0.316,0.454,0.77,14.0,10.0,0.187,0.92,0.203,-0.016%,0.16%,1.32,3.1,0.0,0.0,HR
Willy Adames SS,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.251,0.315,0.394,0.709,14.0,9.0,-0.038,0.41,0.0,-0.038%,-0.03%,0.59,-1.0,1.0,3.0,
Mike Zunino C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.183,0.233,0.339,0.572,18.0,13.0,-0.061,0.54,0.0,-0.061%,-0.05%,0.78,-1.4,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Yonny Chirinos P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Emilio Pagan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,5.0,10.0,5.0,1.0,9.0,37.0,0.278,0.297,0.472,0.77,150.0,97.0,0.075,0.64,0.534,-0.458%,0.06%,0.91,-0.3,27.0,14.0,
