Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF-CF,4.0,1.0,1.0,1.0,1.0,0.0,5.0,0.267,0.386,0.461,0.847,20.0,12.0,-0.017,0.7,0.047,-0.064%,-0.01%,0.6,0.5,3.0,0.0,HR
Andrew Benintendi CF,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.263,0.355,0.421,0.776,9.0,5.0,-0.038,0.86,0.015,-0.053%,-0.02%,0.74,-0.4,0.0,0.0,
Sam Travis LF,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.167,0.167,0.167,0.333,15.0,10.0,-0.025,0.45,0.0,-0.025%,-0.01%,0.39,-0.7,1.0,1.0,
J.D. Martinez DH,4.0,1.0,2.0,1.0,1.0,1.0,5.0,0.305,0.382,0.538,0.92,17.0,11.0,0.028,0.57,0.064,-0.036%,0.01%,0.49,1.0,,,2·2B
Rafael Devers 3B,5.0,0.0,1.0,2.0,0.0,1.0,5.0,0.293,0.352,0.479,0.831,23.0,16.0,0.131,0.88,0.205,-0.075%,0.07%,0.75,0.8,0.0,1.0,3B
Xander Bogaerts SS,3.0,1.0,2.0,1.0,1.0,1.0,4.0,0.294,0.376,0.524,0.9,22.0,13.0,0.095,0.74,0.138,-0.042%,0.05%,0.64,1.6,1.0,3.0,HR
Brock Holt LF-RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.269,0.345,0.308,0.653,15.0,10.0,-0.09,0.89,0.0,-0.090%,-0.05%,0.76,-1.3,3.0,0.0,
Christian Vazquez C,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.282,0.326,0.46,0.786,22.0,15.0,0.025,0.63,0.055,-0.030%,0.01%,0.54,0.3,15.0,0.0,
Marco Hernandez 2B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.333,0.333,0.533,0.867,14.0,10.0,-0.088,0.81,0.0,-0.088%,-0.04%,0.69,-1.4,1.0,0.0,
Michael Chavis 1B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.247,0.335,0.454,0.789,14.0,9.0,-0.058,0.74,0.018,-0.076%,-0.03%,0.64,-0.4,3.0,0.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Darwinzon Hernandez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Colten Brewer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Bobby Poyner P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Shawaryn P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,5.0,9.0,5.0,4.0,12.0,40.0,0.25,0.325,0.556,0.881,171.0,111.0,-0.037,0.73,0.542,-0.579%,-0.02%,0.63,-0.3,27.0,5.0,
