Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3"
t1,0-0,0,---,"4,(1-2) CBCS",O,TEX,Shin-Soo Choo,Darwinzon Hernandez,-2%,48%,Strikeout Swinging
t1,0-0,1,---,"4,(1-2) BCFS",O,TEX,Danny Santana,Darwinzon Hernandez,-2%,46%,Strikeout Swinging
t1,0-0,2,---,"5,(1-2) CBFFS",O,TEX,Elvis Andrus,Darwinzon Hernandez,-1%,45%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rangers 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rangers 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rangers 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rangers' Ariel Jurado facing 1-2-3"
b1,0-0,0,---,"5,(3-1) CBBBB",,BOS,Mookie Betts,Ariel Jurado,-3%,42%,Walk
b1,0-0,0,1--,"1,(0-0) 1X",O,BOS,Andrew Benintendi,Ariel Jurado,3%,45%,Flyball: CF (Deep CF)
b1,0-0,1,1--,"3,(0-2) FF1S",O,BOS,J.D. Martinez,Ariel Jurado,3%,48%,Strikeout Swinging
b1,0-0,2,1--,"2,(1-0) 1BX",O,BOS,Rafael Devers,Ariel Jurado,2%,50%,Popfly: SS (2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Rangers 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Rangers 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Rangers 0, Red Sox 0."
