Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
David Price,1.1,5.0,6.0,6.0,1.0,2.0,0.0,3.52,12.0,49.0,27.0,16.0,5.0,6.0,4.0,3.0,1.0,0.0,21.0,,,-0.403,1.02,-0.21%,0.91,-5.6,1.0,Shin-Soo Choo,DH,1.0,Mookie Betts,RF
Mike Shawaryn,2.1,0.0,0.0,0.0,2.0,2.0,0.0,1.08,9.0,38.0,20.0,8.0,6.0,6.0,2.0,3.0,0.0,0.0,,1.0,0.0,0.067,0.78,0.04%,0.69,1.3,2.0,Delino DeShields,CF,2.0,Andrew Benintendi,LF
Colten Brewer,0.1,0.0,0.0,0.0,1.0,0.0,0.0,4.66,2.0,8.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,,2.0,0.0,0.05,1.95,0.03%,1.73,0.7,3.0,Elvis Andrus,SS,3.0,J.D. Martinez,DH
Travis Lakins Sr.,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.63,4.0,20.0,10.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.059,1.04,0.03%,0.93,0.6,4.0,Hunter Pence,LF,4.0,Rafael Devers,3B
Marcus Walden,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.43,5.0,26.0,18.0,9.0,3.0,6.0,1.0,3.0,2.0,0.0,,0.0,0.0,0.08,1.35,0.04%,1.2,0.6,5.0,Asdrubal Cabrera,3B,5.0,Xander Bogaerts,SS
"Brandon Workman, W (4-1)",1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.71,6.0,32.0,17.0,7.0,2.0,8.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.095,2.57,0.05%,2.29,0.6,6.0,Danny Santana,RF,6.0,Christian Vazquez,C
"Matt Barnes, H (10)",1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.49,4.0,20.0,13.0,6.0,4.0,3.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.13,2.49,0.07%,2.22,0.6,7.0,Logan Forsythe,1B,7.0,Jackie Bradley Jr.,CF
"Josh A. Smith, S (1)",1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.84,5.0,19.0,11.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.181,4.16,0.10%,3.71,0.6,8.0,Rougned Odor,2B,8.0,Michael Chavis,1B
Team Totals,9.0,9.0,6.0,6.0,9.0,11.0,0.0,6.0,47.0,212.0,120.0,60.0,25.0,35.0,11.0,13.0,4.0,0.0,21.0,3.0,0.0,0.259,1.71,0.14%,1.52,-0.7,9.0,Jeff Mathis,C,9.0,Marco Hernandez,2B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian Sampson,P,,David Price,P
