Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Eric Sogard 2B-3B,6.0,1.0,4.0,0.0,0.0,0.0,6.0,0.315,0.379,0.508,0.888,35.0,24.0,-0.041,1.22,0.097,-0.138%,0%,0.02,0.5,1.0,1.0,SB
Vladimir Guerrero Jr. DH,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.247,0.316,0.42,0.736,18.0,10.0,-0.12,1.03,0.016,-0.135%,-0.00%,0.02,-1.5,,,GDP
Lourdes Gurriel Jr. LF,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.27,0.327,0.555,0.881,20.0,12.0,-0.149,1.12,0.0,-0.149%,-0.00%,0.02,-1.5,1.0,0.0,
Teoscar Hernandez CF,3.0,3.0,0.0,0.0,2.0,1.0,5.0,0.205,0.281,0.375,0.656,23.0,11.0,-0.007,0.86,0.059,-0.066%,0%,0.01,0.5,4.0,0.0,
Randal Grichuk RF,4.0,1.0,3.0,3.0,1.0,0.0,5.0,0.228,0.287,0.425,0.712,21.0,10.0,0.164,1.02,0.203,-0.039%,0.00%,0.02,3.0,1.0,0.0,HR
Freddy Galvis SS,5.0,0.0,2.0,2.0,0.0,2.0,5.0,0.261,0.297,0.423,0.72,19.0,14.0,0.085,1.32,0.178,-0.093%,0.00%,0.02,1.1,4.0,3.0,GDP
Danny Jansen C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.166,0.253,0.237,0.489,15.0,11.0,-0.109,0.98,0.0,-0.109%,-0.00%,0.01,-1.6,10.0,1.0,
Cavan Biggio PH-2B,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.203,0.356,0.449,0.806,6.0,2.0,0.1,2.54,0.1,0.000%,0.00%,0.04,0.4,0.0,0.0,SB
Billy McKinney 1B,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.221,0.274,0.379,0.653,17.0,13.0,-0.14,1.18,0.006,-0.147%,-0.00%,0.01,-1.1,5.0,1.0,HBP
Brandon Drury 3B,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.208,0.248,0.356,0.604,14.0,11.0,-0.026,0.51,0.014,-0.040%,0%,0.01,-0.6,0.0,1.0,
Rowdy Tellez PH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.218,0.274,0.44,0.713,2.0,0.0,0.013,3.71,0.013,0.000%,0%,0.05,0.1,,,IW
Luke Maile C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.221,0.258,0.479,,,,,,,,,,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Trent Thornton P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Tim Mayza P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Joe Biagini P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
David Phelps P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jordan Romano P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,40.0,5.0,11.0,5.0,5.0,15.0,46.0,0.275,0.37,0.35,0.72,190.0,118.0,-0.23,1.12,0.686,-0.916%,-0.00%,0.01,-0.9,29.0,7.0,
