Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.273,0.39,0.466,0.856,20.0,13.0,-0.004,0.83,0.059,-0.063%,-0.00%,0.86,-0.1,2.0,0.0,SB
Rafael Devers 3B,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.327,0.38,0.557,0.937,8.0,7.0,-0.064,1.02,0.026,-0.089%,-0.04%,1.06,-0.6,0.0,1.0,CS
Michael Chavis PH-3B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.327,0.458,0.785,1.0,1.0,-0.001,0.03,0.0,-0.001%,0%,0.03,-0.2,0.0,0.0,
Xander Bogaerts SS,3.0,1.0,2.0,2.0,0.0,1.0,3.0,0.297,0.385,0.55,0.935,11.0,8.0,0.148,1.27,0.179,-0.030%,0.09%,1.32,1.4,1.0,3.0,HR
Marco Hernandez PH-2B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.353,0.365,0.549,0.914,3.0,3.0,0.0,0.01,0.0,0.000%,0%,0.01,-0.1,0.0,0.0,
J.D. Martinez DH,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.296,0.368,0.528,0.896,15.0,8.0,-0.079,0.84,0.0,-0.079%,-0.05%,0.87,-1.0,,,
Andrew Benintendi LF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.268,0.346,0.424,0.77,17.0,9.0,-0.017,0.62,0.018,-0.034%,-0.01%,0.65,-0.4,1.0,0.0,
Christian Vazquez 1B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.298,0.33,0.527,0.856,20.0,14.0,-0.11,0.92,0.0,-0.110%,-0.07%,0.96,-1.2,8.0,2.0,
Brock Holt 2B,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.33,0.378,0.425,0.803,4.0,3.0,0.066,0.81,0.066,0.000%,0.04%,0.84,0.7,0.0,1.0,
Eduardo Nunez PH-2B-SS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.232,0.247,0.311,0.558,2.0,2.0,-0.005,0.19,0.0,-0.005%,-0.00%,0.2,-0.3,0.0,0.0,
Sandy Leon C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.194,0.266,0.276,0.542,14.0,9.0,-0.071,0.96,0.0,-0.071%,-0.04%,0.99,-0.9,12.0,0.0,
Jackie Bradley Jr. CF,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.232,0.332,0.394,0.727,9.0,8.0,-0.046,0.75,0.01,-0.056%,-0.03%,0.78,-0.6,2.0,0.0,SB
,,,,,,,,,,,,,,,,,,,,,,,
Chris Sale P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Heath Hembree P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Colten Brewer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Steven Wright P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Marcus Walden P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Hector Velazquez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,32.0,2.0,6.0,2.0,1.0,10.0,33.0,0.188,0.212,0.281,0.493,124.0,85.0,-0.183,0.83,0.358,-0.538%,-0.11%,0.86,-3.3,27.0,8.0,
