Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Chris Taylor LF,4.0,1.0,0.0,0.0,2.0,1.0,6.0,0.265,0.334,0.459,0.794,29.0,17.0,-0.013,0.68,0.037,-0.050%,-0.00%,0.23,-0.8,1.0,0.0,
Justin Turner 3B,5.0,3.0,3.0,2.0,0.0,1.0,5.0,0.295,0.374,0.46,0.834,15.0,10.0,0.158,0.91,0.208,-0.050%,0.03%,0.31,2.0,0.0,3.0,"HR,2·2B"
David Freese DH,3.0,0.0,1.0,2.0,0.0,2.0,3.0,0.302,0.401,0.579,0.981,16.0,11.0,0.042,0.95,0.086,-0.043%,0.01%,0.32,0.7,,,2B
Joc Pederson PH-DH,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.238,0.331,0.517,0.848,6.0,5.0,-0.012,0.22,0.0,-0.012%,-0.00%,0.07,-0.5,,,
Cody Bellinger RF,4.0,1.0,2.0,2.0,0.0,0.0,5.0,0.338,0.433,0.695,1.128,9.0,5.0,0.053,0.4,0.076,-0.023%,0.01%,0.13,0.9,3.0,0.0,"HR,SF"
Alex Verdugo RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.352,0.5,0.852,,,,,,,,,,0.0,0.0,
AJ Pollock CF,4.0,1.0,2.0,2.0,0.0,1.0,5.0,0.234,0.298,0.36,0.659,20.0,12.0,0.114,0.63,0.134,-0.020%,0.02%,0.21,1.8,2.0,0.0,"HR,HBP"
Max Muncy 1B,5.0,2.0,3.0,1.0,0.0,2.0,5.0,0.268,0.365,0.535,0.9,28.0,16.0,-0.042,0.6,0.025,-0.067%,-0.01%,0.2,0.5,8.0,1.0,HR
Corey Seager SS,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.268,0.348,0.451,0.799,19.0,13.0,-0.063,0.43,0.014,-0.077%,-0.01%,0.14,-0.9,1.0,1.0,GDP
Enrique Hernandez 2B,3.0,2.0,2.0,0.0,2.0,1.0,5.0,0.224,0.294,0.41,0.704,29.0,15.0,0.037,0.39,0.053,-0.016%,0.01%,0.13,1.1,1.0,2.0,
Austin Barnes C,4.0,1.0,1.0,1.0,0.0,3.0,5.0,0.204,0.3,0.348,0.648,27.0,17.0,0.043,0.49,0.067,-0.024%,0.01%,0.17,0.9,10.0,1.0,"3B,HBP"
,,,,,,,,,,,,,,,,,,,,,,,
Ross Stripling P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Joe Kelly P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Julio Urias P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
JT Chargois P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Team Totals,39.0,11.0,14.0,10.0,4.0,12.0,46.0,0.359,0.435,0.795,1.23,198.0,121.0,0.317,0.57,0.7,-0.382%,0.06%,0.19,5.7,27.0,9.0,
