Inning,Win Pct
1,0.5
2,0.53
3,0.5
4,0.47
5,0.49
6,0.59
7,0.54
8,0.57
9,0.54
10,0.57
11,0.6
12,0.57
13,0.56
14,0.55
15,0.57
16,0.59
17,0.6
18,0.58
19,0.68
20,0.66
21,0.65
22,0.61
23,0.65
24,0.69
25,0.68
26,0.71
27,0.69
28,0.71
29,0.67
30,0.7
31,0.59
32,0.61
33,0.63
34,0.66
35,0.72
36,0.69
37,0.8
38,0.89
39,0.88
40,0.88
41,0.86
42,0.88
43,0.86
44,0.88
45,0.9
46,0.9
47,0.9
48,0.91
49,0.9
50,0.9
51,0.88
52,0.85
53,0.88
54,0.86
55,0.81
56,0.84
57,0.82
58,0.8
59,0.88
60,0.87
61,0.92
62,0.96
63,0.96
64,0.97
65,0.98
66,0.99
67,0.99
68,0.99
69,0.99
70,0.99
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
