Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Dodgers Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"6,(3-2) BFTBBB",,LAD,Chris Taylor,David Price,3%,53%,Walk
t1,0-0,0,1--,"4,(2-1) B*BFX",,LAD,Justin Turner,David Price,5%,59%,Reached on E6 (Ground Ball to SS-3B Hole); Taylor to 2B
t1,0-0,0,12-,"4,(0-2) SCFS",O,LAD,David Freese,David Price,-5%,53%,Strikeout Swinging
t1,0-0,1,12-,"4,(0-2) CFFX",O,LAD,Cody Bellinger,David Price,-4%,49%,Foul Popfly: 3B (3B into Foul Terr.)
t1,0-0,2,12-,"3,(1-1) *BCX",RRR,LAD,AJ Pollock,David Price,23%,72%,Home Run (Fly Ball to Deep RF Line); Taylor Scores/unER; Turner Scores/unER; Pollock Scores/unER
t1,3-0,2,---,"1,(0-0) H",,LAD,Max Muncy,David Price,1%,73%,Hit By Pitch
t1,3-0,2,1--,"5,(2-2) CSBBX",O,LAD,Enrique Hernandez,David Price,-2%,71%,Groundout: SS-2B/Forceout at 2B (P's Right)
,,,,,,,,,"3 runs, 1 hit, 1 error, 1 LOB. Dodgers 3, Red Sox 0.","3 runs, 1 hit, 1 error, 1 LOB. Dodgers 3, Red Sox 0.","3 runs, 1 hit, 1 error, 1 LOB. Dodgers 3, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-3, Dodgers' Hyun Jin Ryu facing 1-2-3"
