Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"4,(1-2) FBFX",O,NYY,Aaron Hicks,Eduardo Rodriguez,2%,52%,Groundout: P-1B (Short 3B Line)
t1,0-0,1,---,"5,(2-2) CBBCX",O,NYY,Aaron Judge,Eduardo Rodriguez,2%,54%,Lineout: RF
t1,0-0,2,---,"7,(3-2) CFBBBFB",,NYY,Edwin Encarnacion,Eduardo Rodriguez,-1%,53%,Walk
t1,0-0,2,1--,"2,(1-0) BX",,NYY,Luke Voit,Eduardo Rodriguez,-2%,51%,Single to LF (Line Drive); Encarnacion to 2B
t1,0-0,2,12-,"3,(2-0) BBX",O,NYY,Didi Gregorius,Eduardo Rodriguez,4%,55%,Lineout: RF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Yankees 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Yankees 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Yankees 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Yankees' CC Sabathia facing 1-2-3"
b1,0-0,0,---,"6,(3-2) BFFBBX",O,BOS,Mookie Betts,CC Sabathia,-2%,53%,Flyball: LF (LF-CF)
b1,0-0,1,---,"4,(0-2) TCFX",O,BOS,Rafael Devers,CC Sabathia,-2%,51%,Flyball: RF
b1,0-0,2,---,"3,(0-2) CCT",O,BOS,Xander Bogaerts,CC Sabathia,-1%,50%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Yankees 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Yankees 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Yankees 0, Red Sox 0."
