Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Whit Merrifield 2B,4.0,0.0,2.0,0.0,1.0,0.0,5.0,0.3,0.355,0.478,0.833,19.0,13.0,0.051,0.89,0.096,-0.045%,0%,0.0,0.2,1.0,6.0,2B
Alex Gordon LF,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.273,0.347,0.426,0.773,19.0,10.0,-0.178,1.22,0.0,-0.178%,0%,0.0,-1.5,1.0,0.0,
Hunter Dozier RF,4.0,1.0,2.0,0.0,1.0,2.0,5.0,0.28,0.365,0.53,0.895,28.0,17.0,-0.015,0.83,0.047,-0.061%,0%,0.0,0.1,2.0,0.0,2B
Jorge Soler DH,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.249,0.329,0.513,0.842,13.0,9.0,-0.065,0.99,0.028,-0.093%,0%,0.0,-0.4,,,
Cheslor Cuthbert 3B,4.0,1.0,1.0,1.0,0.0,2.0,4.0,0.29,0.324,0.439,0.764,20.0,12.0,-0.031,0.81,0.046,-0.077%,0%,0.0,-0.2,0.0,1.0,HR
Ryan O'Hearn 1B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.174,0.271,0.304,0.576,13.0,7.0,-0.02,0.62,0.026,-0.046%,0%,0.0,-0.5,8.0,1.0,
Bubba Starling CF,4.0,1.0,1.0,3.0,0.0,0.0,4.0,0.25,0.28,0.361,0.641,11.0,8.0,-0.002,0.76,0.066,-0.068%,0%,0.0,1.9,1.0,1.0,HR
Meibrys Viloria C,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.267,0.353,0.433,0.786,14.0,12.0,0.004,0.76,0.071,-0.066%,0%,0.0,0.3,9.0,0.0,HR
Nicky Lopez SS,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.223,0.262,0.287,0.548,22.0,16.0,-0.048,1.07,0.039,-0.087%,0%,0.0,-0.3,1.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,
Mike Montgomery P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Kevin McCarthy P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Tim Hill P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Barlow P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Josh Staumont P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,5.0,8.0,5.0,3.0,9.0,39.0,0.229,0.289,0.543,0.832,159.0,104.0,-0.304,0.89,0.419,-0.721%,0.00%,0.0,-0.3,24.0,12.0,
