Inning,Win Pct
1,0.5
2,0.48
3,0.5
4,0.47
5,0.5
6,0.52
7,0.45
8,0.42
9,0.45
10,0.48
11,0.5
12,0.54
13,0.5
14,0.47
15,0.45
16,0.41
17,0.49
18,0.5
19,0.47
20,0.45
21,0.47
22,0.49
23,0.52
24,0.69
25,0.65
26,0.61
27,0.65
28,0.69
29,0.71
30,0.74
31,0.76
32,0.68
33,0.67
34,0.62
35,0.44
36,0.46
37,0.49
38,0.47
39,0.5
40,0.47
41,0.45
42,0.46
43,0.43
44,0.46
45,0.43
46,0.38
47,0.19
48,0.16
49,0.2
50,0.24
51,0.2
52,0.18
53,0.21
54,0.31
55,0.27
56,0.29
57,0.27
58,0.3
59,0.32
60,0.39
61,0.33
62,0.35
63,0.29
64,0.47
65,0.41
66,0.45
67,0.41
68,0.46
69,0.5
70,0.45
71,0.41
72,0.44
73,0.38
74,0.43
75,0.47
76,0.45
77,0.5
78,0.58
79,0.5
80,0.55
81,0.46
82,0.35
83,0.27
84,0.35
85,0.43
86,0.5
87,0.44
88,0.38
89,0.35
90,0.41
91,0.29
92,0.28
93,0.0
