Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,5.0,2.0,2.0,1.0,0.0,0.0,5.0,0.282,0.388,0.498,0.886,21.0,12.0,0.001,0.62,0.056,-0.055%,0%,0.11,0.7,3.0,0.0,"HR,2B"
Rafael Devers 3B,4.0,1.0,2.0,1.0,1.0,0.0,5.0,0.328,0.377,0.581,0.958,17.0,9.0,0.044,0.67,0.103,-0.060%,0.01%,0.12,0.9,1.0,1.0,"2B,GDP"
Xander Bogaerts SS,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.308,0.385,0.564,0.949,19.0,13.0,-0.023,0.75,0.031,-0.054%,-0.00%,0.14,0.9,4.0,3.0,2B
J.D. Martinez DH,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.309,0.383,0.563,0.946,11.0,7.0,-0.016,0.7,0.07,-0.086%,-0.00%,0.13,-0.5,,,"2B,HBP,SF,GDP"
Andrew Benintendi LF,4.0,2.0,3.0,2.0,0.0,0.0,4.0,0.29,0.363,0.475,0.839,11.0,8.0,0.139,0.86,0.172,-0.033%,0.02%,0.16,2.2,4.0,0.0,"3B,2B"
Christian Vazquez C,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.279,0.317,0.482,0.8,10.0,9.0,-0.079,0.77,0.001,-0.079%,-0.01%,0.14,-1.4,5.0,0.0,SH
Mitch Moreland 1B,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.236,0.317,0.518,0.835,10.0,6.0,0.083,0.97,0.099,-0.016%,0.01%,0.18,0.8,2.0,1.0,3B
Sam Travis PH-1B,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.266,0.32,0.468,0.788,6.0,2.0,0.001,0.47,0.002,-0.001%,0%,0.09,-0.2,2.0,0.0,IW
Marco Hernandez 2B,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.325,0.35,0.468,0.818,6.0,3.0,-0.04,0.71,0.0,-0.040%,-0.01%,0.13,-0.5,0.0,1.0,
Chris Owings PH-2B,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.134,0.191,0.225,0.416,6.0,5.0,0.075,0.69,0.075,0.000%,0.01%,0.13,1.6,1.0,1.0,2B
Jackie Bradley Jr. CF,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.22,0.315,0.391,0.706,14.0,9.0,0.025,0.49,0.042,-0.017%,0.00%,0.09,-0.2,4.0,0.0,SF
,,,,,,,,,,,,,,,,,,,,,,,
Rick Porcello P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Josh Taylor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Travis Lakins Sr. P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,31.0,9.0,12.0,9.0,3.0,3.0,38.0,0.387,0.432,0.806,1.239,131.0,83.0,0.21,0.69,0.651,-0.441%,0.02%,0.13,4.3,27.0,7.0,
