Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Rhys Hoskins DH,3.0,1.0,1.0,0.0,2.0,0.0,5.0,0.238,0.379,0.476,0.855,27.0,15.0,0.0,0.95,0.06,-0.060%,0%,0.92,0.1,,,
J.T. Realmuto 1B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.277,0.328,0.48,0.808,12.0,12.0,-0.114,1.1,0.0,-0.114%,-0.07%,1.06,-1.3,9.0,2.0,
Bryce Harper RF,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.254,0.373,0.492,0.865,14.0,8.0,0.008,0.92,0.078,-0.070%,0.01%,0.88,0.1,1.0,0.0,2B
Jean Segura SS,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.284,0.331,0.434,0.765,20.0,13.0,0.051,0.87,0.107,-0.056%,0.03%,0.84,0.6,1.0,3.0,2B
Corey Dickerson LF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.294,0.337,0.537,0.874,16.0,10.0,-0.064,0.61,0.0,-0.064%,-0.04%,0.58,-0.8,3.0,0.0,
Scott Kingery 3B,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.271,0.329,0.488,0.817,18.0,10.0,0.011,0.74,0.075,-0.064%,0.01%,0.71,0.2,1.0,3.0,CS
Cesar Hernandez 2B,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.283,0.331,0.397,0.728,13.0,9.0,0.012,0.72,0.048,-0.036%,0.01%,0.69,0.2,1.0,3.0,
Adam Haseley CF,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.248,0.301,0.39,0.691,11.0,7.0,-0.051,0.94,0.027,-0.078%,-0.03%,0.9,-0.7,2.0,0.0,SB
Andrew Knapp C,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.192,0.316,0.263,0.579,19.0,14.0,-0.064,0.91,0.016,-0.081%,-0.04%,0.88,-0.7,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Aaron Nola P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Jose Alvarez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Morin P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Hector Neris P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,3.0,7.0,3.0,3.0,11.0,37.0,0.206,0.27,0.265,0.535,150.0,98.0,-0.211,0.86,0.411,-0.623%,-0.12%,0.83,-2.3,27.0,11.0,
