Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"5,(2-2) BFBFS",O,MIN,Max Kepler,Eduardo Rodriguez,2%,52%,Strikeout Swinging
t1,0-0,1,---,"4,(1-2) FFBS",O,MIN,Jorge Polanco,Eduardo Rodriguez,2%,54%,Strikeout Swinging
t1,0-0,2,---,"4,(1-2) CSBC",O,MIN,Nelson Cruz,Eduardo Rodriguez,1%,55%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Twins 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Twins' Jose Berrios facing 1-2-3"
b1,0-0,0,---,"1,(0-0) X",R,BOS,Mookie Betts,Jose Berrios,9%,64%,Home Run (Fly Ball to Deep LF)
b1,1-0,0,---,"4,(1-2) SSBC",O,BOS,Rafael Devers,Jose Berrios,-2%,62%,Strikeout Looking
b1,1-0,1,---,"6,(3-2) BCCBBX",,BOS,Xander Bogaerts,Jose Berrios,2%,64%,Single to CF (Line Drive to Deep CF)
b1,1-0,1,1--,"5,(1-2) FSFB1S",O,BOS,J.D. Martinez,Jose Berrios,-3%,62%,Strikeout Swinging
b1,1-0,2,1--,"5,(3-1) B1B+1SBB",,BOS,Andrew Benintendi,Jose Berrios,2%,63%,Walk; Bogaerts to 2B
b1,1-0,2,12-,"4,(1-2) BSFS",O,BOS,Brock Holt,Jose Berrios,-4%,60%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 2 LOB. Twins 0, Red Sox 1.","1 run, 2 hits, 0 errors, 2 LOB. Twins 0, Red Sox 1.","1 run, 2 hits, 0 errors, 2 LOB. Twins 0, Red Sox 1."
"Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 2nd, Twins Batting, Behind 0-1, Red Sox' Eduardo Rodriguez facing 4-5-6"
t2,0-1,0,---,"2,(1-0) BX",O,MIN,Eddie Rosario,Eduardo Rodriguez,3%,62%,Popfly: 3B (SS-3B Hole)
t2,0-1,1,---,"5,(3-1) BBSBB",,MIN,Miguel Sano,Eduardo Rodriguez,-3%,59%,Walk
t2,0-1,1,1--,"3,(0-2) SFC",O,MIN,Jake Cave,Eduardo Rodriguez,3%,63%,Strikeout Looking
t2,0-1,2,1--,"7,(3-2) CBSBFBX",,MIN,C.J. Cron,Eduardo Rodriguez,-3%,60%,Single to LF (Line Drive to Deep LF Line); Sano to 3B
t2,0-1,2,1-3,"5,(2-2) BBSFS",O,MIN,Jonathan Schoop,Eduardo Rodriguez,5%,65%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Twins 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 2 LOB. Twins 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 2 LOB. Twins 0, Red Sox 1."
"Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Twins' Jose Berrios facing 7-8-9"
,,,,,,,,,Jake Cave moves from RF to CF Max Kepler moves from CF to RF,Jake Cave moves from RF to CF Max Kepler moves from CF to RF,Jake Cave moves from RF to CF Max Kepler moves from CF to RF
b2,1-0,0,---,"2,(1-0) ..BX",O,BOS,Mitch Moreland,Jose Berrios,-2%,63%,Groundout: C-1B
b2,1-0,1,---,"1,(0-0) X",,BOS,Christian Vazquez,Jose Berrios,2%,65%,Single to RF (Line Drive to RF Line)
b2,1-0,1,1--,"5,(3-1) BC*BB*B",,BOS,Jackie Bradley Jr.,Jose Berrios,3%,68%,Walk; Vazquez to 2B
