Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.36
6,0.38
7,0.36
8,0.38
9,0.37
10,0.4
11,0.38
12,0.41
13,0.37
14,0.4
15,0.35
16,0.37
17,0.35
18,0.32
19,0.15
20,0.15
21,0.16
22,0.19
23,0.16
24,0.14
25,0.12
26,0.13
27,0.13
28,0.13
29,0.14
30,0.17
31,0.22
32,0.12
33,0.14
34,0.16
35,0.1
36,0.11
37,0.11
38,0.11
39,0.12
40,0.15
41,0.09
42,0.08
43,0.09
44,0.09
45,0.1
46,0.08
47,0.1
48,0.07
49,0.06
50,0.05
51,0.04
52,0.02
53,0.02
54,0.01
55,0.02
56,0.02
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.02
65,0.04
66,0.03
67,0.02
68,0.03
69,0.01
70,0.01
71,0.01
72,0.02
73,0.02
74,0.01
75,0.02
76,0.02
77,0.04
78,0.0
