Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Nathan Eovaldi,4.0,7,5,5,3,6,2,6.19,22,86,48,23,11,14,7,6,3,0,31.0,,,-0.272,0.88,0.00%,0.0,-2.7
Colten Brewer,1.0,0,0,0,0,2,0,4.41,3,11,8,1,5,2,1,0,0,0,,0.0,0.0,0.023,0.29,0.00%,0.0,0.6
Bobby Poyner,1.0,0,0,0,0,0,0,7.0,3,20,13,10,0,3,2,1,0,0,,0.0,0.0,0.031,0.39,0.00%,0.0,0.6
Ryan Brasier,1.1,0,0,0,0,3,0,5.29,4,26,19,10,7,2,0,1,0,0,,0.0,0.0,0.145,1.36,0.00%,0.0,0.9
Josh Taylor,0.2,0,0,0,1,1,0,2.93,3,11,6,2,1,3,1,0,0,0,,0.0,0.0,0.066,1.45,0.00%,0.0,0.3
Brandon Workman,1.0,1,0,0,0,2,0,2.0,3,14,9,3,1,5,1,0,0,0,,0.0,0.0,0.154,2.6,0.00%,0.0,0.6
Matt Barnes,1.0,0,0,0,2,0,0,4.05,5,18,9,6,0,3,2,1,0,0,,0.0,0.0,0.154,3.19,0.00%,0.0,0.6
Marcus Walden,1.0,0,0,0,0,2,0,3.36,3,13,9,4,2,3,1,0,0,0,,0.0,0.0,0.154,1.93,0.00%,0.0,0.6
Andrew Cashner,2.0,4,1,1,0,1,0,4.49,8,28,18,9,4,5,2,5,3,0,,0.0,0.0,-0.117,1.96,0.00%,0.0,0.2
Brian Johnson,0.2,1,0,0,1,1,0,6.56,4,8,6,3,1,2,0,2,0,0,,0.0,0.0,0.031,3.2,0.00%,0.0,0.1
"Trevor Kelley, L (0-2)",1.1,1,1,1,0,1,0,9.0,6,18,14,6,4,4,2,3,0,0,,2.0,0.0,-0.148,2.51,0.00%,0.0,0.1
Team Totals,15.0,14,7,7,7,19,2,4.2,64,253,159,77,36,46,19,19,6,0,31.0,2.0,0.0,0.221,1.64,0.00%,0.0,1.8
