Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mike Yastrzemski LF,7.0,2.0,2.0,1.0,1.0,3.0,8.0,0.266,0.325,0.516,0.842,41.0,26.0,0.126,1.33,0.302,-0.177%,0%,0.0,1.1,3.0,0.0,"HR,2B"
Brandon Belt 1B,6.0,1.0,1.0,1.0,1.0,3.0,7.0,0.236,0.342,0.411,0.753,29.0,16.0,-0.209,1.44,0.097,-0.305%,0%,0.0,-0.5,17.0,0.0,HR
Evan Longoria 3B,4.0,1.0,2.0,0.0,3.0,2.0,7.0,0.26,0.329,0.448,0.777,32.0,18.0,0.153,1.59,0.199,-0.047%,0%,0.0,1.0,2.0,4.0,IW
Stephen Vogt C,7.0,1.0,1.0,1.0,0.0,2.0,7.0,0.262,0.31,0.489,0.8,31.0,19.0,-0.255,2.17,0.144,-0.398%,0%,0.0,-0.7,15.0,1.0,"2B,GDP"
Kevin Pillar CF,7.0,1.0,1.0,1.0,0.0,2.0,7.0,0.258,0.284,0.439,0.724,26.0,20.0,-0.205,2.08,0.082,-0.287%,0%,0.0,-1.4,4.0,0.0,
Brandon Crawford SS,6.0,0.0,3.0,2.0,1.0,2.0,7.0,0.234,0.311,0.361,0.671,23.0,12.0,0.258,1.66,0.368,-0.111%,0%,0.0,1.1,1.0,8.0,2B
Chris Shaw DH,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.1,0.182,0.1,0.282,9.0,8.0,-0.05,0.62,0.0,-0.050%,0%,0.0,-0.7,,,
Donovan Solano PH-DH,3.0,1.0,2.0,0.0,1.0,0.0,4.0,0.337,0.367,0.466,0.833,14.0,6.0,0.149,2.28,0.272,-0.123%,0%,0.0,0.6,,,2B
Austin Slater RF,6.0,0.0,1.0,0.0,0.0,3.0,6.0,0.255,0.358,0.456,0.815,21.0,14.0,-0.155,1.19,0.018,-0.173%,0%,0.0,-1.2,0.0,0.0,
Alex Dickerson PH,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.288,0.345,0.523,0.868,3.0,2.0,0.122,4.18,0.122,0.000%,0%,0.0,0.1,,,SF
Mike Gerber RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.091,0.095,0.186,,,,,,,,,,0.0,0.0,
Mauricio Dubon 2B,7.0,0.0,1.0,0.0,0.0,0.0,7.0,0.274,0.297,0.484,0.781,24.0,18.0,-0.156,1.38,0.092,-0.249%,0%,0.0,-1.2,3.0,5.0,CS
,,,,,,,,,,,,,,,,,,,,,,,
Logan Webb P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Andrew Suarez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tyler Rogers P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Fernando Abad P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jandel Gustave P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Sam Coonrod P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Will Smith P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Shaun Anderson P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Sam Selman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Burch Smith P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Wandy Peralta P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Kyle Barraclough P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Dereck Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,56.0,7.0,14.0,7.0,7.0,19.0,64.0,0.25,0.328,0.429,0.757,253.0,159.0,-0.222,1.64,1.696,-1.920%,0.00%,0.0,-1.8,45.0,20.0,
