Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Logan Webb,5.0,3,3,3,4,3,1,6.51,22,97,56,28,6,22,9,6,5,0,48.0,,,0.002,1.09,0.00%,0.0,0.0
"Andrew Suarez, BS (1)",1.0,3,2,2,0,2,0,6.52,6,23,15,7,3,5,1,3,3,0,,1.0,1.0,-0.22,1.61,0.00%,0.0,-1.5
Tyler Rogers,0.1,2,0,0,0,0,0,1.54,3,8,5,3,0,2,3,0,0,0,,0.0,0.0,-0.136,2.07,0.00%,0.0,-0.9
Fernando Abad,0.2,0,0,0,0,1,0,4.5,2,7,5,1,1,3,1,0,0,0,,2.0,0.0,0.23,2.83,0.00%,0.0,1.5
Jandel Gustave,1.0,0,0,0,1,0,0,1.61,4,18,12,9,1,2,3,0,0,0,,0.0,0.0,0.117,2.16,0.00%,0.0,0.6
Sam Coonrod,0.2,1,0,0,1,0,0,3.0,4,19,9,4,2,3,2,1,0,0,,0.0,0.0,0.034,2.43,0.00%,0.0,0.1
Will Smith,1.1,1,0,0,0,2,0,2.89,5,20,13,7,3,3,1,2,1,0,,2.0,0.0,0.274,3.07,0.00%,0.0,1.1
Shaun Anderson,2.0,0,0,0,1,3,0,5.15,6,38,24,17,2,5,2,0,0,0,,0.0,0.0,0.308,2.13,0.00%,0.0,1.2
"Sam Selman, H (1)",0.1,1,1,1,1,1,0,7.11,3,13,6,4,1,1,1,0,0,0,,0.0,0.0,-0.13,3.82,0.00%,0.0,-0.4
Burch Smith,0.0,1,0,0,0,0,0,5.6,1,3,3,2,0,1,0,1,1,0,,2.0,0.0,-0.196,7.16,0.00%,0.0,-0.7
"Wandy Peralta, H (3)",0.1,0,0,0,0,1,0,6.43,1,4,3,0,1,2,0,0,0,0,,3.0,0.0,0.266,8.49,0.00%,0.0,0.8
"Kyle Barraclough, BS (3)",0.1,0,0,0,1,0,0,6.37,2,10,4,1,0,3,1,0,0,0,,3.0,1.0,-0.212,8.66,0.00%,0.0,-0.2
"Dereck Rodriguez, W (6-9)",2.0,2,0,0,1,1,0,4.98,9,34,19,12,2,5,1,6,4,0,,0.0,0.0,0.383,3.91,0.00%,0.0,1.2
Team Totals,15.0,14,6,6,10,14,1,3.6,68,294,174,95,22,57,25,19,14,0,48.0,13.0,2.0,0.72,2.49,0.00%,0.0,2.8
