Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
"Jhoulys Chacin, L (3-11)",2.2,5.0,4.0,4.0,2.0,6.0,1.0,5.66,15.0,72.0,44.0,23.0,7.0,14.0,5.0,2.0,1.0,0.0,36.0,,,-0.244,0.74,0.00%,0.0,-2.9,1.0,Mike Yastrzemski,RF,1.0,Andrew Benintendi,LF
Bobby Poyner,0.1,0.0,0.0,0.0,0.0,1.0,0.0,6.75,1.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.029,0.94,0.00%,0.0,0.7,2.0,Brandon Belt,1B,2.0,Xander Bogaerts,SS
Brian Johnson,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.21,6.0,19.0,12.0,6.0,2.0,4.0,2.0,2.0,1.0,0.0,,0.0,0.0,0.048,0.3,0.00%,0.0,1.2,3.0,Kevin Pillar,CF,3.0,Rafael Devers,3B
Travis Lakins Sr.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.58,4.0,17.0,11.0,6.0,3.0,2.0,3.0,1.0,1.0,0.0,,0.0,0.0,0.02,0.25,0.00%,0.0,0.6,4.0,Alex Dickerson,LF,4.0,Christian Vazquez,DH
Mike Shawaryn,1.2,2.0,2.0,2.0,0.0,3.0,0.0,7.58,7.0,35.0,24.0,17.0,4.0,3.0,1.0,3.0,2.0,0.0,,0.0,0.0,-0.037,0.51,0.00%,0.0,-0.2,5.0,Stephen Vogt,DH,5.0,Brock Holt,RF
Colten Brewer,0.1,1.0,0.0,0.0,0.0,1.0,0.0,4.38,2.0,9.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,-0.035,0.34,0.00%,0.0,-0.6,6.0,Brandon Crawford,SS,6.0,Mitch Moreland,1B
Hector Velazquez,0.2,4.0,4.0,2.0,0.0,0.0,0.0,5.68,6.0,32.0,21.0,16.0,1.0,4.0,2.0,4.0,2.0,0.0,,0.0,0.0,-0.015,0.07,0.00%,0.0,-2.0,7.0,Cristhian Adames,3B,7.0,Jackie Bradley Jr.,CF
Ryan Weber,0.1,2.0,1.0,0.0,0.0,0.0,0.0,5.2,4.0,18.0,10.0,7.0,2.0,1.0,2.0,2.0,2.0,0.0,,2.0,2.0,-0.003,0.02,0.00%,0.0,-2.4,8.0,Mauricio Dubon,2B,8.0,Marco Hernandez,2B
Team Totals,9.0,15.0,11.0,8.0,2.0,13.0,1.0,8.0,45.0,206.0,132.0,80.0,21.0,31.0,16.0,14.0,9.0,0.0,36.0,5.0,3.0,-0.237,0.44,0.00%,0.0,-5.7,9.0,Aramis Garcia,C,9.0,Sandy Leon,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeff Samardzija,P,,Jhoulys Chacin,P
