Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"4,(1-2) CBFX",,SFG,Mauricio Dubon,Eduardo Rodriguez,-3%,47%,Single to LF (Line Drive to Deep LF-CF)
t1,0-0,0,1--,"8,(3-2) BBCCFBFC",O,SFG,Austin Slater,Eduardo Rodriguez,3%,50%,Strikeout Looking
t1,0-0,1,1--,"4,(2-1) BCBX",,SFG,Kevin Pillar,Eduardo Rodriguez,-6%,44%,Single to CF (Ground Ball); Dubon to 3B
t1,0-0,1,1-3,"1,(0-0) X",RO,SFG,Evan Longoria,Eduardo Rodriguez,0%,44%,Lineout: LF/Sacrifice Fly (Deep LF-CF); Dubon Scores
t1,1-0,2,1--,"4,(1-2) SBFT",O,SFG,Buster Posey,Eduardo Rodriguez,2%,46%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Giants 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Giants 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Giants 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Giants' Madison Bumgarner facing 1-2-3"
b1,0-1,0,---,"3,(1-1) BFX",,BOS,Andrew Benintendi,Madison Bumgarner,6%,52%,Double to CF (Fly Ball to Deep CF)
b1,0-1,0,-2-,"7,(3-2) SBBBFFB",,BOS,Christian Vazquez,Madison Bumgarner,3%,55%,Walk
b1,0-1,0,12-,"6,(2-2) SSBBFX",R,BOS,Rafael Devers,Madison Bumgarner,11%,66%,Single to RF (Line Drive to Short CF-RF); Benintendi Scores; Vazquez to 3B
b1,1-1,0,1-3,"4,(1-2) CBFX",R,BOS,Xander Bogaerts,Madison Bumgarner,5%,71%,Single to CF (Line Drive); Vazquez Scores; Devers to 2B
b1,2-1,0,12-,"6,(2-2) CCB*BFT",O,BOS,Brock Holt,Madison Bumgarner,-4%,67%,Strikeout Swinging
b1,2-1,1,12-,"4,(1-2) FBSC",O,BOS,Gorkys Hernandez,Madison Bumgarner,-4%,63%,Strikeout Looking
b1,2-1,2,12-,"5,(2-2) FCBBX",O,BOS,Jackie Bradley Jr.,Madison Bumgarner,-4%,60%,Flyball: RF (Deep RF)
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Giants 1, Red Sox 2.","2 runs, 3 hits, 0 errors, 2 LOB. Giants 1, Red Sox 2.","2 runs, 3 hits, 0 errors, 2 LOB. Giants 1, Red Sox 2."
