Inning,Win Pct
1,0.5
2,0.53
3,0.5
4,0.56
5,0.56
6,0.54
7,0.48
8,0.45
9,0.34
10,0.29
11,0.33
12,0.37
13,0.4
14,0.38
15,0.41
16,0.37
17,0.35
18,0.37
19,0.39
20,0.37
21,0.35
22,0.26
23,0.15
24,0.16
25,0.14
26,0.16
27,0.14
28,0.12
29,0.13
30,0.13
31,0.13
32,0.14
33,0.12
34,0.11
35,0.12
36,0.1
37,0.09
38,0.1
39,0.11
40,0.12
41,0.1
42,0.09
43,0.08
44,0.06
45,0.07
46,0.08
47,0.08
48,0.1
49,0.08
50,0.06
51,0.06
52,0.06
53,0.07
54,0.07
55,0.05
56,0.04
57,0.03
58,0.04
59,0.04
60,0.04
61,0.03
62,0.02
63,0.03
64,0.04
65,0.11
66,0.14
67,0.2
68,0.07
69,0.08
70,0.08
71,0.07
72,0.07
73,0.06
74,0.09
75,0.16
76,0.29
77,0.43
78,0.29
79,0.15
80,0.24
81,0.0
