Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.47
5,0.45
6,0.47
7,0.49
8,0.47
9,0.5
10,0.48
11,0.46
12,0.48
13,0.49
14,0.45
15,0.41
16,0.44
17,0.47
18,0.45
19,0.5
20,0.47
21,0.52
22,0.54
23,0.59
24,0.51
25,0.75
26,0.74
27,0.7
28,0.78
29,0.8
30,0.78
31,0.8
32,0.78
33,0.76
34,0.79
35,0.81
36,0.79
37,0.82
38,0.84
39,0.79
40,0.79
41,0.81
42,0.83
43,0.85
44,0.83
45,0.82
46,0.83
47,0.85
48,0.85
49,0.82
50,0.85
51,0.87
52,0.88
53,0.87
54,0.88
55,0.86
56,0.85
57,0.88
58,0.91
59,0.92
60,0.91
61,0.9
62,0.91
63,0.91
64,0.9
65,0.93
66,0.95
67,0.96
68,0.97
69,0.97
70,0.96
71,0.96
72,0.98
73,0.98
74,0.95
75,0.9
76,0.98
77,0.99
78,1.0
