Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jose Peraza 2B,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.333,0.333,0.429,0.762,8.0,6.0,-0.03,1.27,0.082,-0.112%,-0.02%,1.32,-0.7,1.0,3.0,GDP
J.D. Martinez DH,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.25,0.348,0.35,0.698,14.0,8.0,-0.117,1.04,0.0,-0.117%,-0.07%,1.08,-1.4,,,
Rafael Devers 3B,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.19,0.227,0.333,0.561,19.0,12.0,-0.053,0.97,0.035,-0.088%,-0.03%,1.01,-0.2,0.0,5.0,"2B,GDP"
Xander Bogaerts SS,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.167,0.167,0.333,0.5,16.0,11.0,-0.089,0.81,0.0,-0.089%,-0.06%,0.84,-1.2,0.0,3.0,
Kevin Pillar RF,4.0,1.0,3.0,1.0,0.0,0.0,4.0,0.583,0.583,1.083,1.667,18.0,11.0,0.076,0.71,0.098,-0.021%,0.05%,0.74,1.8,1.0,0.0,2·2B
Michael Chavis 1B,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,4.0,2.0,-0.036,0.84,0.0,-0.036%,-0.02%,0.88,-0.4,7.0,0.0,
Mitch Moreland PH-1B,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3,0.3,0.9,1.2,7.0,5.0,-0.046,0.8,0.0,-0.046%,-0.03%,0.82,-0.6,5.0,0.0,
Jackie Bradley Jr. CF,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.444,0.5,0.556,1.056,11.0,9.0,-0.087,0.79,0.0,-0.087%,-0.05%,0.82,-0.8,2.0,0.0,
Kevin Plawecki C,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.429,0.5,0.571,1.071,15.0,7.0,0.074,0.59,0.094,-0.021%,0.05%,0.61,1.0,9.0,0.0,2B
Andrew Benintendi LF,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.063,0.25,0.063,0.313,20.0,10.0,0.053,0.73,0.067,-0.014%,0.03%,0.76,0.3,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Matt Hall P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Austin Brice P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Colten Brewer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,3.0,9.0,2.0,2.0,6.0,36.0,0.265,0.306,0.382,0.688,132.0,81.0,-0.255,0.85,0.376,-0.631%,-0.16%,0.89,-2.2,27.0,12.0,
