Inning,Win Pct
1,0.5
2,0.56
3,0.59
4,0.65
5,0.59
6,0.67
7,0.67
8,0.63
9,0.66
10,0.63
11,0.67
12,0.69
13,0.67
14,0.65
15,0.64
16,0.6
17,0.54
18,0.66
19,0.65
20,0.7
21,0.73
22,0.7
23,0.73
24,0.69
25,0.66
26,0.68
27,0.7
28,0.68
29,0.49
30,0.5
31,0.54
32,0.5
33,0.47
34,0.44
35,0.4
36,0.3
37,0.32
38,0.37
39,0.34
40,0.31
41,0.3
42,0.32
43,0.28
44,0.2
45,0.15
46,0.2
47,0.24
48,0.2
49,0.18
50,0.2
51,0.16
52,0.18
53,0.19
54,0.2
55,0.28
56,0.25
57,0.35
58,0.28
59,0.22
60,0.24
61,0.22
62,0.2
63,0.24
64,0.13
65,0.15
66,0.11
67,0.16
68,0.07
69,0.05
70,0.04
71,0.03
72,0.01
73,0.02
74,0.03
75,0.03
76,0.04
77,0.02
78,0.0
79,0.0
