Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3"
t1,0-0,0,---,"6,(2-2) BBCFFX",O,WSN,Trea Turner,Martin Perez,-2%,48%,Groundout: SS-1B (SS-2B)
t1,0-0,1,---,"3,(1-1) CBX",O,WSN,Juan Soto,Martin Perez,-2%,46%,Groundout: SS-1B (Deep SS-2B)
t1,0-0,2,---,"4,(0-2) CTFC",O,WSN,Howie Kendrick,Martin Perez,-1%,45%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 1-2-3"
b1,0-0,0,---,"6,(2-2) CFBFBS",O,BOS,Alex Verdugo,Max Scherzer,2%,47%,Strikeout Swinging
b1,0-0,1,---,"3,(0-2) FFC",O,BOS,Rafael Devers,Max Scherzer,2%,49%,Strikeout Looking
b1,0-0,2,---,"1,(0-0) X",O,BOS,J.D. Martinez,Max Scherzer,1%,50%,Flyball: CF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0."
"Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6","Top of the 2nd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 4-5-6"
t2,0-0,0,---,"3,(1-1) CBX",O,WSN,Asdrubal Cabrera,Martin Perez,-2%,48%,Groundout: 2B-1B (2B-1B)
t2,0-0,1,---,"3,(1-1) FBX",O,WSN,Kurt Suzuki,Martin Perez,-2%,46%,Flyball: RF (RF Line)
t2,0-0,2,---,"2,(0-1) CX",O,WSN,Adam Eaton,Martin Perez,-1%,45%,Groundout: 2B-1B (Weak 2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Nationals 0, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6"
