Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Trea Turner SS,5.0,1.0,3.0,3.0,0.0,0.0,5.0,0.322,0.388,0.583,0.97,20.0,12.0,0.111,0.58,0.136,-0.025%,0.06%,0.5,2.2,0.0,0.0,"2·2B,CS"
Wilmer Difo SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.167,0.091,0.258,,,,,,,,,,1.0,0.0,
Juan Soto DH,5.0,1.0,1.0,2.0,0.0,0.0,5.0,0.368,0.461,0.803,1.263,24.0,10.0,0.095,0.39,0.12,-0.025%,0.05%,0.33,0.3,,,HR
Howie Kendrick 1B,4.0,1.0,2.0,1.0,0.0,2.0,4.0,0.313,0.351,0.448,0.799,15.0,11.0,0.046,0.23,0.059,-0.012%,0.02%,0.2,1.0,2.0,0.0,HR
Eric Thames 1B,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.214,0.295,0.314,0.609,7.0,4.0,0.0,0.0,0.0,0.000%,0%,0.0,0.6,0.0,0.0,2B
Asdrubal Cabrera 3B,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.257,0.327,0.475,0.803,22.0,14.0,-0.044,0.3,0.002,-0.046%,-0.02%,0.26,-1.1,0.0,0.0,GDP
Luis Garcia 2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.333,0.439,0.772,,,,,,,,,,0.0,0.0,
Kurt Suzuki C,4.0,1.0,2.0,0.0,1.0,0.0,5.0,0.271,0.318,0.373,0.691,22.0,12.0,-0.004,0.21,0.015,-0.019%,-0.00%,0.17,0.3,13.0,0.0,2B
Adam Eaton RF,4.0,1.0,0.0,0.0,1.0,0.0,5.0,0.231,0.292,0.375,0.667,18.0,12.0,-0.015,0.24,0.01,-0.026%,-0.01%,0.21,-0.6,3.0,0.0,
Josh Harrison 2B-3B,5.0,1.0,2.0,2.0,0.0,0.0,5.0,0.286,0.313,0.536,0.848,23.0,16.0,0.017,0.35,0.048,-0.031%,0.01%,0.3,0.3,2.0,1.0,"HR,GDP"
Michael A. Taylor LF,3.0,2.0,1.0,1.0,0.0,0.0,4.0,0.179,0.22,0.385,0.604,16.0,11.0,-0.023,0.55,0.022,-0.046%,-0.01%,0.47,0.4,2.0,0.0,HBP
Victor Robles CF,4.0,2.0,3.0,0.0,0.0,0.0,4.0,0.247,0.327,0.365,0.691,13.0,10.0,0.122,0.49,0.126,-0.003%,0.06%,0.42,1.5,3.0,0.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Max Scherzer P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Kyle Finnegan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ben Braymer P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryne Harper P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,40.0,10.0,16.0,9.0,2.0,2.0,43.0,0.4,0.442,0.75,1.192,180.0,112.0,0.305,0.36,0.538,-0.233%,0.16%,0.31,4.8,27.0,2.0,
