Inning,Win Pct
1,0.5
2,0.56
3,0.54
4,0.56
5,0.5
6,0.45
7,0.42
8,0.45
9,0.37
10,0.22
11,0.23
12,0.24
13,0.21
14,0.2
15,0.21
16,0.19
17,0.14
18,0.14
19,0.13
20,0.16
21,0.2
22,0.27
23,0.34
24,0.4
25,0.5
26,0.44
27,0.39
28,0.42
29,0.34
30,0.36
31,0.37
32,0.39
33,0.43
34,0.39
35,0.35
36,0.37
37,0.32
38,0.34
39,0.36
40,0.25
41,0.26
42,0.31
43,0.28
44,0.31
45,0.25
46,0.2
47,0.21
48,0.2
49,0.21
50,0.24
51,0.29
52,0.24
53,0.29
54,0.16
55,0.13
56,0.15
57,0.18
58,0.17
59,0.2
60,0.26
61,0.2
62,0.16
63,0.12
64,0.13
65,0.14
66,0.15
67,0.22
68,0.16
69,0.11
70,0.07
71,0.07
72,0.08
73,0.08
74,0.08
75,0.04
76,0.09
77,0.04
78,0.0
