Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Alex Verdugo LF,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.291,0.352,0.496,0.847,15.0,10.0,-0.016,0.39,0.022,-0.038%,-0.00%,0.06,-0.4,3.0,0.0,2B
Rafael Devers 3B,4.0,3.0,4.0,3.0,1.0,0.0,5.0,0.24,0.29,0.457,0.747,30.0,21.0,0.158,0.41,0.158,0.000%,0.01%,0.07,3.8,1.0,0.0,2·HR
J.D. Martinez DH,4.0,0.0,1.0,0.0,0.0,1.0,5.0,0.208,0.299,0.375,0.674,18.0,11.0,-0.04,0.46,0.009,-0.049%,-0.00%,0.07,-0.5,,,"2B,HBP"
Tzu-Wei Lin PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.167,0.13,0.297,,,,,,,,,,,,
Xander Bogaerts SS,4.0,1.0,2.0,2.0,1.0,1.0,5.0,0.302,0.364,0.569,0.933,17.0,11.0,0.179,0.44,0.192,-0.013%,0.02%,0.07,2.1,0.0,6.0,HR
Kevin Pillar RF,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.274,0.325,0.47,0.795,21.0,15.0,-0.021,0.45,0.035,-0.055%,-0.00%,0.07,-1.7,0.0,0.0,"2B,GDP"
Kevin Plawecki C,4.0,1.0,2.0,2.0,1.0,0.0,5.0,0.351,0.4,0.432,0.832,19.0,10.0,0.116,0.46,0.134,-0.018%,0.01%,0.07,1.8,8.0,0.0,"2B,SB"
Jackie Bradley Jr. CF,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.242,0.303,0.343,0.646,17.0,10.0,-0.041,0.34,0.007,-0.048%,-0.00%,0.06,-1.2,3.0,0.0,
Bobby Dalbec 1B,4.0,1.0,2.0,2.0,0.0,2.0,4.0,0.5,0.5,1.25,1.75,17.0,12.0,0.046,0.38,0.066,-0.019%,0.00%,0.06,1.6,9.0,1.0,HR
Jose Peraza 2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.242,0.294,0.337,0.631,19.0,13.0,-0.034,0.34,0.0,-0.034%,-0.00%,0.05,-1.1,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Zack Godley P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Josh Osich P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Josh Taylor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Austin Brice P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,39.0,9.0,15.0,9.0,3.0,7.0,43.0,0.385,0.442,0.795,1.237,173.0,113.0,0.347,0.41,0.623,-0.274%,0.03%,0.07,4.4,27.0,7.0,
