Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Alex Verdugo RF,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.313,0.369,0.51,0.879,23.0,14.0,0.057,1.38,0.1,-0.043%,0%,0.02,0.2,2.0,0.0,2B
Rafael Devers 3B,5.0,1.0,2.0,3.0,0.0,1.0,5.0,0.252,0.31,0.465,0.774,13.0,10.0,0.029,2.35,0.259,-0.230%,0%,0.03,1.4,2.0,2.0,"HR,2B"
Xander Bogaerts SS,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.277,0.335,0.525,0.86,24.0,15.0,0.343,1.35,0.427,-0.084%,0.00%,0.02,0.1,1.0,2.0,HR
J.D. Martinez DH,3.0,1.0,2.0,1.0,2.0,0.0,5.0,0.235,0.323,0.419,0.742,22.0,10.0,0.153,1.06,0.19,-0.038%,0.00%,0.01,1.8,,,HR
Jose Peraza PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.274,0.321,0.595,,,,,,,,,,,,
Christian Vazquez C,5.0,2.0,3.0,0.0,0.0,1.0,5.0,0.266,0.321,0.403,0.724,21.0,16.0,0.145,1.48,0.249,-0.104%,0.00%,0.02,1.1,6.0,1.0,SB
Yairo Munoz LF,5.0,0.0,1.0,1.0,0.0,1.0,5.0,0.45,0.45,0.75,1.2,18.0,15.0,0.173,1.96,0.261,-0.088%,0.00%,0.03,-1.1,1.0,1.0,GDP
Jackie Bradley Jr. CF,3.0,1.0,1.0,2.0,1.0,0.0,4.0,0.256,0.336,0.421,0.757,17.0,9.0,0.271,1.51,0.299,-0.028%,0.00%,0.02,1.7,2.0,1.0,HR
Michael Chavis 2B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.22,0.25,0.352,0.602,12.0,7.0,-0.153,1.55,0.018,-0.170%,-0.00%,0.02,-0.8,4.0,2.0,
Bobby Dalbec 1B,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.182,0.217,0.455,0.672,16.0,10.0,-0.081,1.73,0.079,-0.160%,-0.00%,0.02,-0.0,7.0,2.0,HR
,,,,,,,,,,,,,,,,,,,,,,,
Ryan Weber P,,,,,,,,,,,,,,,,,,,,,2.0,0.0,
Josh Taylor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Phillips Valdez P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Robert Stock P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Kickham P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,39.0,9.0,15.0,9.0,3.0,6.0,42.0,0.385,0.429,0.821,1.249,166.0,106.0,0.937,1.59,1.882,-0.945%,0.01%,0.02,4.4,27.0,12.0,
