Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Cavan Biggio 3B,3.0,1.0,0.0,1.0,2.0,2.0,5.0,0.146,0.281,0.313,0.593,27.0,14.0,0.032,0.66,0.062,-0.030%,0.02%,0.64,0.3,0.0,2.0,
Bo Bichette SS,4.0,1.0,2.0,1.0,0.0,1.0,5.0,0.292,0.333,0.556,0.889,16.0,10.0,0.099,0.79,0.133,-0.034%,0.06%,0.76,1.2,2.0,4.0,HBP
Vladimir Guerrero Jr. 1B,3.0,1.0,2.0,1.0,2.0,0.0,5.0,0.383,0.513,0.65,1.163,14.0,5.0,0.132,0.84,0.145,-0.013%,0.08%,0.81,2.0,12.0,0.0,2B
Rowdy Tellez DH,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.163,0.196,0.224,0.421,13.0,9.0,-0.15,0.92,0.0,-0.150%,-0.09%,0.89,-2.3,,,GDP
Alejandro Kirk PH-DH,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.179,0.281,0.321,0.603,2.0,1.0,0.093,1.46,0.093,0.000%,0.05%,1.41,1.3,,,
Santiago Espinal PR-DH-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,,,,,,,,,,,,
Randal Grichuk CF-RF,5.0,0.0,2.0,1.0,0.0,1.0,5.0,0.306,0.353,0.468,0.821,14.0,9.0,-0.011,0.72,0.052,-0.063%,-0.01%,0.69,0.4,0.0,0.0,
Marcus Semien 2B,4.0,1.0,2.0,0.0,1.0,1.0,5.0,0.192,0.268,0.356,0.624,23.0,14.0,0.116,0.82,0.137,-0.021%,0.07%,0.79,1.1,2.0,3.0,SB
Josh Palacios RF,3.0,1.0,0.0,0.0,1.0,2.0,4.0,0.25,0.353,0.25,0.603,20.0,10.0,-0.035,0.8,0.027,-0.062%,-0.02%,0.78,-0.8,0.0,0.0,
Jonathan Davis CF,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.217,0.25,0.467,6.0,2.0,0.003,0.34,0.003,0.000%,0.00%,0.33,0.3,0.0,0.0,
Lourdes Gurriel Jr. LF,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.192,0.228,0.212,0.44,23.0,17.0,-0.011,0.85,0.034,-0.045%,-0.01%,0.82,-1.1,2.0,0.0,"SB,SF"
Danny Jansen C,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.059,0.158,0.088,0.246,15.0,6.0,-0.092,0.92,0.014,-0.106%,-0.05%,0.89,-1.4,9.0,1.0,GDP
,,,,,,,,,,,,,,,,,,,,,,,
Trent Thornton P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Tommy Milone P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
David Phelps P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Borucki P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Rafael Dolis P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tim Mayza P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Anthony Castro P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,6.0,10.0,6.0,8.0,8.0,44.0,0.294,0.432,0.324,0.755,173.0,97.0,0.176,0.81,0.7,-0.524%,0.10%,0.78,0.9,27.0,13.0,
