Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.45
5,0.39
6,0.41
7,0.36
8,0.33
9,0.37
10,0.4
11,0.38
12,0.36
13,0.35
14,0.37
15,0.33
16,0.36
17,0.27
18,0.3
19,0.36
20,0.34
21,0.35
22,0.34
23,0.3
24,0.26
25,0.16
26,0.25
27,0.25
28,0.18
29,0.2
30,0.24
31,0.3
32,0.44
33,0.38
34,0.5
35,0.54
36,0.5
37,0.51
38,0.52
39,0.44
40,0.47
41,0.49
42,0.46
43,0.34
44,0.37
45,0.42
46,0.5
47,0.49
48,0.56
49,0.63
50,0.6
51,0.57
52,0.61
53,0.55
54,0.59
55,0.65
56,0.62
57,0.6
58,0.62
59,0.63
60,0.64
61,0.76
62,0.72
63,0.66
64,0.53
65,0.44
66,0.33
67,0.15
68,0.14
69,0.19
70,0.26
71,0.25
72,0.32
73,0.27
74,0.32
75,0.48
76,0.48
77,0.41
78,0.35
79,0.41
80,0.46
81,0.5
82,0.57
83,0.5
84,0.54
85,0.48
86,0.7
87,0.72
88,0.75
89,0.67
90,0.58
91,0.67
92,0.75
93,0.72
94,0.7
95,0.39
96,0.15
97,0.14
98,0.03
99,0.04
100,0.08
101,0.04
102,0.01
103,0.0
