Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mark Canha LF,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.237,0.369,0.403,0.772,19.0,10.0,-0.057,0.35,0.0,-0.057%,-0.05%,0.47,-2.0,0.0,0.0,"2B,GDP"
Mitch Moreland DH,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.233,0.304,0.4,0.704,14.0,9.0,-0.011,0.24,0.013,-0.024%,-0.01%,0.33,0.8,,,2B
Ramon Laureano CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.241,0.313,0.466,0.779,15.0,10.0,0.0,0.25,0.018,-0.017%,0%,0.33,0.2,3.0,0.0,
Matt Olson 1B,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.261,0.346,0.521,0.867,18.0,7.0,-0.036,0.39,0.003,-0.040%,-0.03%,0.52,-0.7,6.0,0.0,
Jed Lowrie 2B,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.269,0.34,0.423,0.763,8.0,2.0,0.042,0.41,0.048,-0.006%,0.03%,0.55,0.6,0.0,1.0,2B
Tony Kemp 2B,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.217,0.379,0.261,0.64,6.0,2.0,0.001,0.02,0.001,0.000%,0.00%,0.03,0.1,1.0,2.0,
Matt Chapman 3B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.212,0.316,0.386,0.702,9.0,8.0,-0.072,0.71,0.0,-0.072%,-0.06%,0.95,-2.3,1.0,0.0,GDP
Vimael Machin PH-3B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.136,0.05,0.186,2.0,1.0,-0.001,0.05,0.0,-0.001%,-0.00%,0.07,-0.3,0.0,1.0,
Seth Brown RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.224,0.288,0.478,0.765,22.0,16.0,-0.034,0.3,0.0,-0.034%,-0.03%,0.4,-1.1,4.0,0.0,
Sean Murphy C,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.194,0.319,0.367,0.686,10.0,7.0,-0.006,0.18,0.005,-0.011%,-0.01%,0.24,0.1,5.0,0.0,HBP
Aramis Garcia C,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.158,0.2,0.263,0.463,3.0,1.0,0.001,0.01,0.001,0.000%,0.00%,0.01,0.4,1.0,0.0,2B
Elvis Andrus SS,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.177,0.224,0.234,0.458,17.0,8.0,0.014,0.14,0.017,-0.003%,0.01%,0.18,-0.2,3.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,
Sean Manaea P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Deolis Guerra P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Kolarek P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Reymin Guduan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,32.0,1.0,8.0,1.0,4.0,6.0,37.0,0.25,0.351,0.375,0.726,143.0,81.0,-0.159,0.29,0.106,-0.265%,-0.13%,0.4,-4.1,24.0,7.0,
