Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Michael Chavis 2B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.227,0.227,0.455,0.682,18.0,13.0,-0.081,0.74,0.0,-0.081%,-0.06%,0.95,-1.1,0.0,2.0,
Alex Verdugo CF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.273,0.333,0.42,0.753,14.0,9.0,-0.058,0.55,0.0,-0.058%,-0.04%,0.7,-0.8,3.0,0.0,
J.D. Martinez LF,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.34,0.422,0.618,1.04,20.0,10.0,0.006,0.46,0.03,-0.024%,0.00%,0.58,0.0,2.0,0.0,
Xander Bogaerts SS,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.345,0.403,0.593,0.996,17.0,12.0,-0.052,0.75,0.016,-0.068%,-0.04%,0.96,-0.6,2.0,1.0,
Rafael Devers DH,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.27,0.346,0.547,0.894,18.0,11.0,-0.019,0.74,0.036,-0.055%,-0.01%,0.95,-0.4,,,
Christian Vazquez C,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.266,0.308,0.363,0.671,13.0,8.0,-0.04,0.8,0.037,-0.077%,-0.03%,1.02,-0.4,12.0,0.0,CS
Marwin Gonzalez 3B,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.226,0.323,0.33,0.654,10.0,6.0,-0.046,1.36,0.035,-0.081%,-0.03%,1.74,0.0,1.0,1.0,
Hunter Renfroe RF,3.0,2.0,2.0,2.0,0.0,0.0,3.0,0.241,0.275,0.42,0.695,10.0,6.0,0.169,1.14,0.238,-0.069%,0.13%,1.46,0.9,2.0,0.0,"HR,GDP"
Bobby Dalbec 1B,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.206,0.261,0.383,0.644,14.0,8.0,0.361,1.12,0.391,-0.029%,0.28%,1.44,1.6,5.0,0.0,"HR,SB"
,,,,,,,,,,,,,,,,,,,,,,,
Nick Pivetta P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Andriese P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Ottavino P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,31.0,4.0,9.0,4.0,2.0,9.0,33.0,0.29,0.333,0.484,0.817,134.0,83.0,0.24,0.83,0.783,-0.542%,0.18%,1.06,-0.5,27.0,4.0,
