Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Enrique Hernandez 2B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.262,0.314,0.44,0.753,19.0,12.0,-0.127,1.16,0.034,-0.161%,-0.10%,1.46,-1.2,3.0,2.0,GDP
Alex Verdugo LF,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.293,0.355,0.461,0.816,19.0,9.0,0.034,0.94,0.079,-0.045%,0.03%,1.18,0.4,2.0,0.0,
J.D. Martinez DH,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.326,0.401,0.584,0.985,13.0,11.0,-0.04,1.38,0.065,-0.105%,-0.03%,1.73,0.1,,,
Xander Bogaerts SS,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.343,0.399,0.594,0.993,13.0,11.0,-0.124,1.34,0.015,-0.140%,-0.09%,1.69,-1.1,0.0,3.0,
Rafael Devers 3B,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.273,0.349,0.581,0.93,14.0,9.0,0.0,1.3,0.08,-0.080%,0%,1.64,0.4,3.0,1.0,HBP
Christian Vazquez C,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.25,0.299,0.362,0.661,15.0,12.0,-0.214,1.35,0.0,-0.214%,-0.16%,1.7,-2.3,7.0,0.0,
Danny Santana CF,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.231,0.333,0.846,1.179,14.0,9.0,0.027,0.93,0.079,-0.052%,0.02%,1.16,0.6,2.0,0.0,3B
Hunter Renfroe RF,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.217,0.257,0.362,0.619,18.0,9.0,-0.007,0.69,0.026,-0.033%,-0.01%,0.87,0.2,2.0,0.0,
Bobby Dalbec 1B,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.203,0.259,0.391,0.65,6.0,5.0,-0.084,1.27,0.0,-0.084%,-0.06%,1.59,-0.9,6.0,0.0,
Marwin Gonzalez PH-1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.289,0.286,0.575,4.0,2.0,-0.048,1.82,0.0,-0.048%,-0.04%,2.29,-0.3,1.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Garrett Richards P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Hirokazu Sawamura P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Garrett Whitlock P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Team Totals,29.0,1.0,4.0,1.0,3.0,12.0,33.0,0.138,0.242,0.207,0.449,135.0,89.0,-0.583,1.19,0.378,-0.962%,-0.44%,1.49,-4.1,27.0,9.0,
