Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
t1,0-0,0,---,"4,(2-1) CBBX",O,ATL,Ronald Acuna Jr.,Garrett Richards,-2%,48%,Popfly: 2B
t1,0-0,1,---,"3,(1-1) BFX",O,ATL,Freddie Freeman,Garrett Richards,-2%,46%,Flyball: LF (LF-CF)
t1,0-0,2,---,"5,(3-1) FBBB*B",,ATL,Marcell Ozuna,Garrett Richards,1%,47%,Walk
t1,0-0,2,1--,"5,(2-2) *BFBSX",O,ATL,Ozzie Albies,Garrett Richards,-2%,45%,Groundout: P-1B (Short 1B Line)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Braves 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Braves 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Braves 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Braves' Charlie Morton facing 1-2-3"
b1,0-0,0,---,"1,(0-0) X",,BOS,Enrique Hernandez,Charlie Morton,-3%,42%,Single to LF (Ground Ball)
b1,0-0,0,1--,"5,(3-1) BBBCB",,BOS,Alex Verdugo,Charlie Morton,-5%,36%,Walk; Hernandez to 2B
b1,0-0,0,12-,"4,(1-2) BFCX",,BOS,J.D. Martinez,Charlie Morton,-6%,30%,Single to 2B (Line Drive to Short CF); Hernandez to 3B; Verdugo to 2B
