Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.47
5,0.45
6,0.42
7,0.36
8,0.3
9,0.36
10,0.28
11,0.4
12,0.38
13,0.36
14,0.37
15,0.35
16,0.27
17,0.24
18,0.29
19,0.4
20,0.44
21,0.4
22,0.44
23,0.59
24,0.58
25,0.55
26,0.58
27,0.6
28,0.59
29,0.62
30,0.65
31,0.74
32,0.68
33,0.61
34,0.56
35,0.59
36,0.61
37,0.63
38,0.6
39,0.58
40,0.6
41,0.57
42,0.61
43,0.63
44,0.65
45,0.62
46,0.65
47,0.62
48,0.64
49,0.77
50,0.78
51,0.72
52,0.76
53,0.79
54,0.8
55,0.78
56,0.77
57,0.76
58,0.8
59,0.83
60,0.85
61,0.84
62,0.82
63,0.82
64,0.86
65,0.9
66,0.87
67,0.92
68,0.91
69,0.92
70,0.91
71,0.89
72,0.95
73,0.98
74,1.0
