Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Magneuris Sierra RF,5.0,1.0,3.0,0.0,0.0,1.0,5.0,0.247,0.318,0.273,0.59,15.0,13.0,0.124,1.25,0.168,-0.044%,0.06%,1.04,1.0,1.0,0.0,2·SB
Starling Marte CF,3.0,0.0,1.0,0.0,2.0,1.0,5.0,0.313,0.423,0.5,0.923,23.0,11.0,0.041,1.23,0.093,-0.052%,0.02%,1.03,0.4,1.0,0.0,2B
Jesus Aguilar 1B,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.253,0.318,0.461,0.779,29.0,19.0,-0.184,1.94,0.049,-0.233%,-0.09%,1.62,-1.1,9.0,0.0,
Garrett Cooper DH,5.0,0.0,2.0,0.0,0.0,2.0,5.0,0.265,0.337,0.429,0.766,20.0,14.0,-0.168,2.0,0.081,-0.249%,-0.08%,1.68,-1.1,,,GDP
Corey Dickerson LF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.281,0.345,0.381,0.726,24.0,16.0,-0.055,1.47,0.053,-0.108%,-0.03%,1.23,-0.5,2.0,1.0,
Jon Berti 3B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.17,0.282,0.286,0.568,17.0,14.0,-0.066,1.5,0.045,-0.111%,-0.03%,1.25,-0.5,0.0,4.0,
Isan Diaz 2B,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.115,0.257,0.213,0.47,17.0,11.0,-0.107,1.41,0.023,-0.129%,-0.05%,1.19,-1.0,2.0,1.0,
Sandy Leon C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.169,0.22,0.217,0.437,17.0,11.0,-0.119,1.49,0.0,-0.119%,-0.06%,1.25,-1.0,7.0,0.0,
Jorge Alfaro PH-C,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22,0.25,0.3,0.55,2.0,2.0,0.069,2.05,0.069,0.000%,0.03%,1.71,0.4,0.0,0.0,
Jose Devers SS,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.227,0.28,0.273,0.553,12.0,10.0,-0.099,1.58,0.058,-0.157%,-0.05%,1.32,-0.7,1.0,1.0,2B
,,,,,,,,,,,,,,,,,,,,,,,
Trevor Rogers P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Cimber P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Richard Bleier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,1.0,10.0,1.0,3.0,14.0,40.0,0.27,0.325,0.324,0.649,176.0,121.0,-0.564,1.55,0.639,-1.202%,-0.28%,1.3,-4.1,24.0,8.0,
