Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Christian Arroyo 2B,3.0,2.0,2.0,2.0,1.0,0.0,4.0,0.29,0.34,0.419,0.759,19.0,10.0,0.191,0.93,0.214,-0.023%,0.15%,1.19,2.2,1.0,3.0,2B
Alex Verdugo LF,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.292,0.351,0.469,0.82,22.0,16.0,0.11,0.66,0.136,-0.026%,0.08%,0.85,1.6,2.0,0.0,2B
Xander Bogaerts SS,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.321,0.378,0.535,0.913,12.0,9.0,0.059,0.72,0.096,-0.037%,0.04%,0.92,0.4,1.0,1.0,
Rafael Devers DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.274,0.342,0.567,0.909,7.0,5.0,-0.02,0.62,0.025,-0.045%,-0.01%,0.8,-0.8,,,
Hunter Renfroe RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.263,0.307,0.451,0.758,12.0,9.0,-0.073,0.64,0.0,-0.073%,-0.06%,0.82,-1.1,0.0,0.0,
Marwin Gonzalez 3B,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.204,0.29,0.315,0.604,16.0,13.0,-0.055,0.53,0.0,-0.055%,-0.04%,0.67,-1.0,2.0,2.0,
Kevin Plawecki C,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.25,0.323,0.357,0.68,19.0,9.0,0.083,0.66,0.092,-0.009%,0.06%,0.85,0.8,13.0,0.0,
Enrique Hernandez CF,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.225,0.282,0.376,0.658,18.0,12.0,-0.001,0.65,0.034,-0.035%,-0.00%,0.83,-0.1,2.0,0.0,
Bobby Dalbec 1B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.19,0.243,0.367,0.61,18.0,13.0,-0.105,0.63,0.0,-0.105%,-0.08%,0.81,-1.5,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Nick Pivetta P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Garrett Whitlock P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Darwinzon Hernandez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Hirokazu Sawamura P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Josh Taylor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Adam Ottavino P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,5.0,10.0,3.0,3.0,6.0,36.0,0.303,0.361,0.364,0.725,143.0,96.0,0.189,0.67,0.597,-0.408%,0.14%,0.86,0.5,27.0,6.0,
