Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
t1,0-0,0,---,"7,(3-2) BFCFBBB",,TOR,Marcus Semien,Garrett Richards,-3%,47%,Walk
t1,0-0,0,1--,"3,(0-2) 1FFX",O,TOR,Bo Bichette,Garrett Richards,3%,50%,Groundout: SS-2B/Forceout at 2B; Bichette to 1B
t1,0-0,1,1--,"4,(1-2) 1F1*BSX",,TOR,Vladimir Guerrero Jr.,Garrett Richards,-6%,44%,Single to LF (Line Drive to Deep LF); Bichette to 3B
t1,0-0,1,1-3,"6,(1-2) *BSFFFX",R,TOR,Teoscar Hernandez,Garrett Richards,-6%,38%,Single to RF (Line Drive to Short CF-RF); Bichette Scores; Guerrero to 2B
t1,1-0,1,12-,"7,(3-2) *BCBFBFX",,TOR,Randal Grichuk,Garrett Richards,-5%,33%,Single to LF (Line Drive); Guerrero to 3B; Hernandez to 2B
t1,1-0,1,123,"5,(3-1) *B*BBCX",O,TOR,Rowdy Tellez,Garrett Richards,6%,39%,Lineout: CF (Deep CF)
t1,1-0,2,123,"4,(1-2) BCSS",O,TOR,Lourdes Gurriel Jr.,Garrett Richards,7%,46%,Strikeout Swinging
,,,,,,,,,"1 run, 3 hits, 0 errors, 3 LOB. Blue Jays 1, Red Sox 0.","1 run, 3 hits, 0 errors, 3 LOB. Blue Jays 1, Red Sox 0.","1 run, 3 hits, 0 errors, 3 LOB. Blue Jays 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Blue Jays' Ross Stripling facing 1-2-3"
b1,0-1,0,---,"5,(2-2) CSBBT",O,BOS,Enrique Hernandez,Ross Stripling,-2%,43%,Strikeout Swinging
b1,0-1,1,---,"1,(0-0) X",,BOS,Alex Verdugo,Ross Stripling,7%,50%,Single to LF (Line Drive to Deep LF); Verdugo to 3B/Adv on E4 (throw)
b1,0-1,1,--3,"5,(2-2) FBBSC",O,BOS,J.D. Martinez,Ross Stripling,-6%,44%,Strikeout Looking
b1,0-1,2,--3,"6,(3-2) BBBSFX",O,BOS,Rafael Devers,Ross Stripling,-4%,40%,Flyball: LF (Deep LF-CF)
,,,,,,,,,"0 runs, 1 hit, 1 error, 1 LOB. Blue Jays 1, Red Sox 0.","0 runs, 1 hit, 1 error, 1 LOB. Blue Jays 1, Red Sox 0.","0 runs, 1 hit, 1 error, 1 LOB. Blue Jays 1, Red Sox 0."
"Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1","Top of the 2nd, Blue Jays Batting, Ahead 1-0, Red Sox' Garrett Richards facing 8-9-1"
t2,1-0,0,---,"3,(1-1) BCX",O,TOR,Cavan Biggio,Garrett Richards,2%,43%,Groundout: 2B-1B (Deep 2B-1B)
t2,1-0,1,---,"1,(0-0) X",,TOR,Reese McGuire,Garrett Richards,-4%,39%,Double to LF (Fly Ball to Deep LF-CF)
t2,1-0,1,-2-,"6,(3-2) *B*BBCCX",O,TOR,Marcus Semien,Garrett Richards,3%,42%,Flyball: CF (Deep CF-RF)
t2,1-0,2,-2-,"6,(2-2) SC*BF*BX",R,TOR,Bo Bichette,Garrett Richards,-9%,33%,Single to CF (Ground Ball thru SS-2B); McGuire Scores; Bichette to 2B
