Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Cristian Guzman SS,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.316,0.381,0.474,0.855,22.0,16.0,-0.038,0.67,0.05,-0.088,-0.02%,0.54,-0.1,1.0,2.0,3B
Denny Hocking LF-CF,4.0,0.0,2.0,1.0,1.0,0.0,5.0,0.316,0.35,0.632,0.982,17.0,10.0,0.096,0.94,0.117,-0.021,0.04%,0.75,1.2,1.0,0.0,2B
Matt Lawton RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.279,0.326,0.488,0.814,14.0,10.0,-0.138,1.22,0.0,-0.138,-0.07%,0.97,-1.7,3.0,0.0,
Ron Coomer 1B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.226,0.333,0.548,0.882,13.0,9.0,-0.044,0.76,0.01,-0.054,-0.02%,0.6,-0.6,9.0,0.0,
Butch Huskey DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.188,0.212,0.344,0.556,17.0,10.0,-0.029,0.92,0.048,-0.078,-0.01%,0.74,-0.2,,,
Matt LeCroy C,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.35,0.409,0.6,1.009,21.0,11.0,-0.057,0.86,0.036,-0.092,-0.03%,0.69,-1.0,4.0,1.0,GDP
Corey Koskie 3B,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.286,0.324,0.4,0.724,10.0,7.0,0.026,0.69,0.06,-0.034,0.01%,0.55,0.2,0.0,0.0,
Torii Hunter CF,3.0,1.0,2.0,0.0,0.0,1.0,3.0,0.323,0.364,0.419,0.783,11.0,9.0,0.062,0.97,0.083,-0.02,0.03%,0.77,0.8,4.0,0.0,
Midre Cummings PH-LF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.667,1.0,1.667,3.0,3.0,-0.012,0.36,0.0,-0.012,-0.01%,0.29,-0.3,0.0,0.0,
Jason Maxwell 2B,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.125,0.111,0.125,0.236,8.0,7.0,-0.04,1.03,0.0,-0.04,-0.02%,0.82,-0.7,2.0,3.0,SF
Jacque Jones PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.389,0.389,0.694,1.083,2.0,1.0,-0.012,0.43,0.0,-0.012,-0.01%,0.34,-0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,
Johan Santana P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Hector Carrasco P,,,,,,,,,,,,,,,,,,,,,0.0,4.0,
Team Totals,35.0,3.0,9.0,3.0,2.0,4.0,38.0,0.257,0.289,0.343,0.632,138.0,93.0,-0.186,0.86,0.404,-0.589,-0.09%,0.69,-2.5,24.0,11.0,
