Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Peter Bergeron CF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.248,0.316,0.344,0.661,17.0,13.0,-0.027,0.72,0.034,-0.061,-0.01%,0.45,-0.3,4.0,0.0,
Jose Vidro 2B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.365,0.403,0.594,0.997,19.0,11.0,-0.03,1.05,0.049,-0.079,-0.01%,0.65,-0.3,0.0,3.0,
Wilton Guerrero DH-RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.26,0.303,0.301,0.604,15.0,12.0,-0.121,1.14,0.0,-0.121,-0.04%,0.7,-1.2,2.0,0.0,
Vladimir Guerrero RF,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.364,0.43,0.697,1.127,16.0,8.0,0.064,0.85,0.115,-0.05,0.02%,0.53,0.7,3.0,1.0,HR
Scott Forster P-P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,
Lee Stevens 1B,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.262,0.347,0.505,0.852,14.0,8.0,-0.001,1.06,0.068,-0.069,0%,0.66,-0.3,8.0,0.0,
Geoff Blum SS,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.257,0.342,0.39,0.732,16.0,12.0,-0.197,1.21,0.0,-0.197,-0.07%,0.75,-1.7,2.0,0.0,GDP
Michael Barrett 3B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.216,0.278,0.304,0.582,17.0,11.0,-0.077,0.7,0.0,-0.077,-0.03%,0.43,-0.8,2.0,0.0,
Terry Jones LF,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.211,0.263,0.296,0.559,18.0,13.0,-0.03,0.65,0.022,-0.052,-0.01%,0.4,-0.4,0.0,0.0,SB
Lenny Webster C,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.17,0.185,0.208,0.393,18.0,10.0,0.08,0.77,0.099,-0.019,0.03%,0.47,0.8,3.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Mike Johnson P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Felipe Lira P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,31.0,2.0,4.0,2.0,4.0,2.0,35.0,0.129,0.229,0.226,0.454,150.0,98.0,-0.339,0.91,0.387,-0.725,-0.12%,0.56,-3.5,24.0,7.0,
